pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	34	32	8	9	0	1	0	0	0	0	0	0	0
car interaction---education	10	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	26	0	0	0	0	0	2	0	0	0	0	0	0
car interaction---leisure	14	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---shop	15	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---work	10	0	0	0	0	0	1	0	0	0	0	0	0
education---car interaction	13	0	0	0	0	0	1	0	0	0	0	0	1
education---home	1	0	0	0	0	0	1	0	0	0	0	1	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---pt interaction	21	0	4	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	1
education---work	2	0	0	0	0	0	0	0	0	0	1	0	1
home---car interaction	29	0	0	0	0	0	1	0	0	0	0	0	0
home---education	1	0	0	1	0	0	0	0	1	0	0	1	1
home---leisure	2	0	0	0	1	1	1	0	0	0	1	0	0
home---pt interaction	44	4	1	0	0	0	0	0	0	0	0	0	0
home---shop	0	0	0	0	1	0	1	0	0	0	0	0	5
home---work	0	0	0	0	1	0	0	0	0	0	0	0	2
leisure---car interaction	14	0	0	0	0	0	1	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	1	0	0	0	0	0	0
leisure---home	0	0	0	0	1	0	0	0	1	0	0	0	3
leisure---pt interaction	20	3	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	0	0	0	0	0	0	0
leisure---work	0	0	0	2	0	0	0	0	0	0	1	0	0
pt interaction---education	26	2	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	42	7	0	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	22	5	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24	60	90	18	18	17	8	8	3	2	1	0	0
pt interaction---shop	23	3	4	0	0	0	0	0	0	0	0	0	0
pt interaction---work	25	8	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	14	0	0	0	0	0	2	0	0	0	0	0	0
shop---education	1	0	0	0	0	1	0	0	0	0	0	0	2
shop---home	0	0	0	0	0	2	0	0	0	0	0	0	3
shop---leisure	1	0	0	1	0	0	0	0	0	0	0	0	0
shop---pt interaction	27	6	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	0	2
work---car interaction	10	0	0	0	0	0	1	0	0	0	0	0	0
work---education	0	0	1	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	2	1	0	0	0	0	0	1
work---leisure	0	0	0	0	0	0	0	0	0	1	0	0	1
work---pt interaction	25	9	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	0	0	0	0	1	0	0	0	0	0	0	1

average leg duration: 681.5130434782609 seconds = 00:11:21
