Iteration	car	pt	walk
0	0.0	0.0	0.0
1	0.0	0.0	0.0
2	0.0	0.0	0.0
3	0.0	0.0	0.0
4	0.0	0.0	0.0
5	0.0	0.0	0.0
6	0.0	0.0	0.0
7	0.0	0.0	0.0
8	0.0	0.0	0.0
9	0.08823529411764706	0.06470588235294118	0.03823529411764706
10	0.1	0.21176470588235294	0.06470588235294118
11	0.11764705882352941	0.28823529411764703	0.08235294117647059
12	0.15588235294117647	0.3764705882352941	0.08235294117647059
13	0.17352941176470588	0.4176470588235294	0.08529411764705883
14	0.18529411764705883	0.4264705882352941	0.09705882352941177
15	0.18529411764705883	0.45	0.10588235294117647
