iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;14:26:38;14:26:38;14:26:38;;;14:26:38;14:26:38;14:26:38;14:26:38;14:26:38;14:26:39;14:26:39;14:26:41;14:26:41;14:26:41;14:26:41;14:26:41;14:26:41;14:26:42;14:26:42;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:01;00:00:04
1;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:43;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
2;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;14:26:45;;;14:26:45;14:26:45;14:26:45;14:26:45;14:26:47;14:26:47;14:26:47;14:26:47;14:26:47;14:26:47;14:26:48;14:26:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
3;14:26:48;14:26:48;14:26:48;14:26:48;14:26:48;14:26:48;;;14:26:48;14:26:48;14:26:48;14:26:48;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
4;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;14:26:50;;;14:26:50;14:26:50;14:26:51;14:26:51;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
5;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;14:26:53;;;14:26:53;14:26:53;14:26:53;14:26:53;14:26:55;14:26:55;14:26:55;14:26:55;14:26:55;14:26:55;14:26:56;14:26:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
6;14:26:56;14:26:56;14:26:56;14:26:56;14:26:56;14:26:56;;;14:26:56;14:26:56;14:26:56;14:26:56;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
7;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;14:26:58;;;14:26:58;14:26:58;14:26:58;14:26:58;14:27:00;14:27:00;14:27:00;14:27:00;14:27:00;14:27:00;14:27:01;14:27:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
8;14:27:01;14:27:01;14:27:01;14:27:01;14:27:01;14:27:01;;;14:27:01;14:27:01;14:27:01;14:27:01;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
9;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;14:27:03;;;14:27:03;14:27:03;14:27:03;14:27:03;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
10;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;14:27:06;;;14:27:06;14:27:06;14:27:06;14:27:06;14:27:08;14:27:08;14:27:08;14:27:08;14:27:08;14:27:08;14:27:09;14:27:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
11;14:27:09;14:27:09;14:27:09;14:27:09;14:27:09;14:27:09;;;14:27:09;14:27:09;14:27:09;14:27:09;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
12;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;14:27:11;;;14:27:11;14:27:11;14:27:11;14:27:11;14:27:13;14:27:13;14:27:13;14:27:13;14:27:13;14:27:13;14:27:13;14:27:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
13;14:27:13;14:27:13;14:27:13;14:27:13;14:27:14;14:27:14;;;14:27:14;14:27:14;14:27:14;14:27:14;14:27:16;14:27:16;14:27:16;14:27:16;14:27:16;14:27:16;14:27:16;14:27:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
