ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;2295.8437968626636;6831.184658729701
1;2492.7330309336817;7013.795617047703
2;2399.2032275857086;6865.043294614659
3;2473.312190800868;6938.500066638907
4;2462.355443716839;6839.6071706833245
5;2428.810618835201;6819.429552926458
6;2509.522098741787;6940.182406682427
7;2550.7863943100324;6748.835543005968
8;2522.6709966839276;6801.929702414298
9;2448.5658566790908;6949.147164894191
10;2532.9581321578244;6871.753365649127
11;2268.6549662051643;6702.7515792250215
12;2496.308036544923;6967.49296921966
13;2507.5636476702152;6846.458187328196
14;2401.4866932696764;6755.857434381637
15;2277.5700298541187;6714.754606205836
