pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	0	4	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	2
car interaction---work	2	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	0	0	0	0	0	0	0	0	0	0	0	0	2
home---pt interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	0	0	0	0	0	11
pt interaction---home	7	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	3	1	4	4	1	1	2	0	1	1	0	0	0
pt interaction---work	7	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	0	0	0	0	0	0	0	0	0	0	11
work---pt interaction	7	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 3117.075 seconds = 00:51:57
