iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;13:53:36;13:53:36;13:53:36;;;13:53:36;13:53:36;13:53:36;13:53:36;13:53:36;13:53:36;13:53:36;13:53:39;13:53:39;13:53:39;13:53:39;13:53:39;13:53:39;13:53:40;13:53:40;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:01;00:00:04
1;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:40;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
2;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;13:53:44;;;13:53:44;13:53:44;13:53:44;13:53:44;13:53:47;13:53:47;13:53:47;13:53:47;13:53:47;13:53:47;13:53:47;13:53:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
3;13:53:48;13:53:48;13:53:48;13:53:48;13:53:48;13:53:48;;;13:53:48;13:53:48;13:53:48;13:53:48;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
4;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;13:53:51;;;13:53:51;13:53:51;13:53:51;13:53:51;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
5;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;13:53:54;;;13:53:54;13:53:54;13:53:55;13:53:55;13:53:57;13:53:57;13:53:57;13:53:57;13:53:57;13:53:57;13:53:58;13:53:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:03
6;13:53:58;13:53:58;13:53:58;13:53:58;13:53:58;13:53:58;;;13:53:58;13:53:58;13:53:58;13:53:58;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
7;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;13:54:01;;;13:54:01;13:54:01;13:54:01;13:54:01;13:54:04;13:54:04;13:54:04;13:54:04;13:54:04;13:54:04;13:54:05;13:54:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
8;13:54:05;13:54:05;13:54:05;13:54:05;13:54:05;13:54:05;;;13:54:05;13:54:05;13:54:05;13:54:05;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03
9;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;13:54:08;;;13:54:08;13:54:08;13:54:08;13:54:08;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:03
10;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;13:54:11;;;13:54:11;13:54:11;13:54:11;13:54:11;13:54:14;13:54:14;13:54:14;13:54:14;13:54:14;13:54:14;13:54:15;13:54:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:03
