stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
076,BL01,頂埔,板南線,24.96012,121.4205,,,1,,Asia/Taipei,1,,292459.205,2761426.146
BL01_DN,BL01,頂埔-下行月臺(板南線),板南線,24.96012,121.4205,,,0,076,Asia/Taipei,1,二,292459.205,2761426.146
077,BL02,永寧,板南線,24.96682,121.43613,,,1,,Asia/Taipei,1,,294035.051,2762173.239
BL02_DN,BL02,永寧-下行月臺(板南線),板南線,24.96682,121.43613,,,0,077,Asia/Taipei,1,二,294035.051,2762173.239
078,BL03,土城,板南線,24.97313,121.44432,,,1,,Asia/Taipei,1,,294859.699,2762874.839
BL03_DN,BL03,土城-下行月臺(板南線),板南線,24.97313,121.44432,,,0,078,Asia/Taipei,1,二,294859.699,2762874.839
079,BL04,海山,板南線,24.985305,121.44873,,,1,,Asia/Taipei,1,,295300.49,2764224.852
BL04_DN,BL04,海山-下行月臺(板南線,板南線,24.985305,121.44873,,,0,079,Asia/Taipei,1,二,295300.49,2764224.852
080,BL05,亞東醫院,板南線,24.99828,121.452465,,,1,,Asia/Taipei,1,,295672.758,2765663.266
BL05_DN,BL05,亞東醫院-下行月臺(板南線),板南線,24.99828,121.452465,,,0,080,Asia/Taipei,1,二,295672.758,2765663.266
081,BL06,府中,板南線,25.008465,121.459276,,,1,,Asia/Taipei,1,,296356.462,2766793.711
BL06_DN,BL06,府中-下行月臺(板南線),板南線,25.008465,121.459276,,,0,081,Asia/Taipei,1,二,296356.462,2766793.711
082,BL07,板橋,板南線,25.013825,121.462305,,,1,,Asia/Taipei,1,,296660.169,2767388.447
BL07_DN,BL07,板橋-下行月臺(板南線),板南線,25.013825,121.462305,,,0,082,Asia/Taipei,1,二,296660.169,2767388.447
083,BL08,新埔,板南線,25.02327,121.468055,,,1,,Asia/Taipei,1,,297236.907,2768436.61
BL08_DN,BL08,新埔-下行月臺(板南線),板南線,25.02327,121.468055,,,0,083,Asia/Taipei,1,二,297236.907,2768436.61
084,BL09,江子翠,板南線,25.030265,121.47257,,,1,,Asia/Taipei,1,,297689.872,2769212.991
BL09_DN,BL09,江子翠-下行月臺(板南線),板南線,25.030265,121.47257,,,0,084,Asia/Taipei,1,二,297689.872,2769212.991
085,BL10,龍山寺,板南線,25.03528,121.500325,,,1,,Asia/Taipei,1,,300488.787,2769778.539
