service_id,date,exception_type
403,20240101,2
377,20240101,2
183,20240101,2
389,20240101,2
403,20240217,1
377,20240217,1
183,20240217,1
389,20240217,1
403,20240228,2
377,20240228,2
183,20240228,2
389,20240228,2
403,20240404,2
377,20240404,2
183,20240404,2
389,20240404,2
403,20240405,2
377,20240405,2
183,20240405,2
389,20240405,2
403,20240610,2
377,20240610,2
183,20240610,2
389,20240610,2
403,20240917,2
377,20240917,2
183,20240917,2
389,20240917,2
403,20241010,2
377,20241010,2
183,20241010,2
389,20241010,2
