trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TPE_BUS_299_EB,08:00:00,08:00:30,508487,1,0,0
TPE_BUS_299_EB,08:07:00,08:07:30,THB281514,2,0,0
TPE_BUS_299_WB,08:30:00,08:30:30,THB281514,1,0,0
TPE_BUS_299_WB,08:37:00,08:37:30,508487,2,0,0
TRA_LOCAL_EB,08:10:00,08:10:00,TRA_1000,1,0,0
TRA_LOCAL_EB,08:15:00,08:15:00,TRA_0990,2,0,0
TRA_LOCAL_WB,08:20:00,08:20:00,TRA_0990,1,0,0
TRA_LOCAL_WB,08:25:00,08:25:00,TRA_1000,2,0,0
403_1007_DN,11:13:21,11:17:51,BL23_DN,5944,,
403_1007_DN,11:19:31,11:19:56,BL22_DN,5945,,
403_1007_DN,11:21:36,11:22:01,BL21_DN,5946,,
403_1007_DN,11:23:57,11:24:22,BL20_DN,5947,,
403_1007_DN,11:25:40,11:26:05,BL19_DN,5948,,
403_1007_DN,11:27:35,11:28:00,BL18_DN,5949,,
403_1007_DN,11:29:20,11:29:45,BL17_DN,5950,,
403_1007_DN,11:30:55,11:31:20,BL16_DN,5951,,
403_1007_DN,11:32:26,11:33:06,BL15_DN,5952,,
403_1007_DN,11:34:42,11:35:22,BL14_DN,5953,,
403_1007_DN,11:36:46,11:37:11,BL13_DN,5954,,
403_1007_DN,11:38:23,11:39:03,BL12_DN,5955,,
403_1007_DN,11:41:13,11:41:53,BL11_DN,5956,,
403_1007_DN,11:43:50,11:44:15,BL10_DN,5957,,
403_1007_DN,11:47:32,11:47:57,BL09_DN,5958,,
403_1007_DN,11:49:19,11:49:44,BL08_DN,5959,,
403_1007_DN,11:51:34,11:51:59,BL07_DN,5960,,
403_1007_DN,11:53:10,11:53:35,BL06_DN,5961,,
403_1007_DN,11:55:29,11:55:54,BL05_DN,5962,,
403_1019_DN,20:31:10,20:36:10,BL23_DN,6066,,
403_1019_DN,20:37:50,20:38:15,BL22_DN,6067,,
403_1019_DN,20:39:55,20:40:20,BL21_DN,6068,,
403_1019_DN,20:42:16,20:42:41,BL20_DN,6069,,
403_1019_DN,20:43:59,20:44:24,BL19_DN,6070,,
403_1019_DN,20:45:54,20:46:19,BL18_DN,6071,,
403_1019_DN,20:47:39,20:48:04,BL17_DN,6072,,
403_1019_DN,20:49:14,20:49:39,BL16_DN,6073,,
403_1019_DN,20:50:45,20:51:25,BL15_DN,6074,,
403_1019_DN,20:53:01,20:53:41,BL14_DN,6075,,
403_1019_DN,20:55:05,20:55:30,BL13_DN,6076,,
403_1019_DN,20:56:42,20:57:22,BL12_DN,6077,,
403_1019_DN,20:59:32,21:00:12,BL11_DN,6078,,
403_1019_DN,21:02:09,21:02:34,BL10_DN,6079,,
403_1019_DN,21:05:51,21:06:16,BL09_DN,6080,,
403_1019_DN,21:07:38,21:08:03,BL08_DN,6081,,
403_1019_DN,21:09:53,21:10:18,BL07_DN,6082,,
403_1019_DN,21:11:29,21:11:54,BL06_DN,6083,,
403_1019_DN,21:13:48,21:14:13,BL05_DN,6084,,
403_1019_DN,21:16:42,21:17:07,BL04_DN,6085,,
403_1019_DN,21:19:05,21:19:30,BL03_DN,6086,,
403_1019_DN,21:21:08,21:21:33,BL02_DN,6087,,
403_1019_DN,21:25:30,21:34:00,BL01_DN,6088,,
183_6080_UP,21:58:48,22:01:18,G01_UP,32862,,
183_6080_UP,22:02:58,22:03:23,G02_UP,32863,,
183_6080_UP,22:04:49,22:05:14,G03_UP,32864,,
183_6080_UP,22:06:36,22:07:01,G04_UP,32865,,
183_6080_UP,22:08:33,22:08:58,G05_UP,32866,,
183_6080_UP,22:10:29,22:10:54,G06_UP,32867,,
183_6080_UP,22:12:54,22:13:19,G07_UP,32868,,
183_6080_UP,22:14:44,22:15:14,G08_UP,32869,,
183_6080_UP,22:16:37,22:17:07,G09_UP,32870,,
183_6080_UP,22:18:35,22:19:10,G10_UP,32871,,
183_6080_UP,22:20:27,22:20:52,G11_UP,32872,,
183_6080_UP,22:22:17,22:22:52,G12_UP,32873,,
183_6080_UP,22:24:08,22:24:38,G13_UP,32874,,
183_6080_UP,22:26:41,22:27:11,G14_UP,32875,,
183_6080_UP,22:29:01,22:29:31,G15_UP,32876,,
183_6080_UP,22:31:01,22:31:31,G16_UP,32877,,
183_6080_UP,22:32:56,22:33:24,G17_UP,32878,,
183_6080_UP,22:35:09,22:35:37,G18_UP,32879,,
183_6080_UP,22:38:25,22:38:25,G19_UP,32880,,
183_6098_UP,13:45:58,13:46:58,G01_UP,32999,,
183_6098_UP,13:48:38,13:49:03,G02_UP,33000,,
183_6098_UP,13:50:29,13:50:54,G03_UP,33001,,
183_6098_UP,13:52:16,13:52:46,G04_UP,33002,,
183_6098_UP,13:54:18,13:54:48,G05_UP,33003,,
183_6098_UP,13:56:19,13:56:44,G06_UP,33004,,
183_6098_UP,13:58:44,13:59:14,G07_UP,33005,,
183_6098_UP,14:00:39,14:01:09,G08_UP,33006,,
183_6098_UP,14:02:32,14:03:07,G09_UP,33007,,
183_6098_UP,14:04:35,14:05:10,G10_UP,33008,,
183_6098_UP,14:06:27,14:06:52,G11_UP,33009,,
183_6098_UP,14:08:17,14:08:52,G12_UP,33010,,
183_6098_UP,14:10:08,14:10:38,G13_UP,33011,,
183_6098_UP,14:12:41,14:13:11,G14_UP,33012,,
183_6098_UP,14:15:01,14:15:31,G15_UP,33013,,
183_6098_UP,14:17:01,14:17:31,G16_UP,33014,,
183_6098_UP,14:18:56,14:19:26,G17_UP,33015,,
183_6098_UP,14:21:11,14:21:41,G18_UP,33016,,
183_6098_UP,14:24:37,14:24:37,G19_UP,33017,,
389_1024_UP,08:15:42,08:18:22,O01_UP,46676,,
389_1024_UP,08:19:37,08:20:02,O02_UP,46677,,
389_1024_UP,08:21:27,08:21:52,O03_UP,46678,,
389_1024_UP,08:23:36,08:24:01,O04_UP,46679,,
389_1024_UP,08:27:13,08:27:48,O05_UP,46680,,
389_1024_UP,08:30:13,08:30:53,O06_UP,46681,,
389_1024_UP,08:33:00,08:33:40,O07_UP,46682,,
389_1024_UP,08:35:21,08:35:51,O08_UP,46683,,
389_1024_UP,08:37:11,08:37:41,O09_UP,46684,,
389_1024_UP,08:39:24,08:39:54,O10_UP,46685,,
389_1024_UP,08:41:07,08:41:47,O11_UP,46686,,
389_1024_UP,08:42:57,08:43:22,O12_UP,46687,,
389_1024_UP,08:45:32,08:45:57,O13_UP,46688,,
389_1024_UP,08:47:44,08:48:09,O14_UP,46689,,
389_1024_UP,08:49:32,08:49:57,O15_UP,46690,,
389_1024_UP,08:52:17,08:52:42,O16_UP,46691,,
389_1024_UP,08:54:32,08:54:57,O17_UP,46692,,
389_1024_UP,08:56:36,08:57:01,O18_UP,46693,,
389_1024_UP,08:59:22,08:59:47,O19_UP,46694,,
389_1024_UP,09:01:42,09:02:08,O20_UP,46695,,
389_1024_UP,09:05:14,09:05:14,O21_UP,46696,,
389_1005_DN,10:42:14,10:51:04,O21_DN,51679,,
389_1005_DN,10:53:30,10:53:57,O20_DN,51680,,
389_1005_DN,10:55:51,10:56:18,O19_DN,51681,,
389_1005_DN,10:58:36,10:59:03,O18_DN,51682,,
389_1005_DN,11:00:33,11:01:00,O17_DN,51683,,
389_1005_DN,11:02:56,11:03:23,O16_DN,51684,,
389_1005_DN,11:05:43,11:06:10,O15_DN,51685,,
389_1005_DN,11:07:32,11:07:59,O14_DN,51686,,
389_1005_DN,11:09:32,11:09:59,O13_DN,51687,,
389_1005_DN,11:12:09,11:12:39,O12_DN,51688,,
389_1005_DN,11:13:57,11:14:32,O11_DN,51689,,
389_1005_DN,11:15:47,11:16:17,O10_DN,51690,,
389_1005_DN,11:17:46,11:18:16,O09_DN,51691,,
389_1005_DN,11:19:31,11:20:01,O08_DN,51692,,
389_1005_DN,11:21:51,11:22:31,O07_DN,51693,,
389_1005_DN,11:25:11,11:25:41,O06_DN,51694,,
389_1005_DN,11:29:19,11:29:49,O05_DN,51695,,
389_1005_DN,11:32:50,11:33:15,O04_DN,51696,,
389_1005_DN,11:34:56,11:35:21,O03_DN,51697,,
389_1005_DN,11:36:53,11:37:16,O02_DN,51698,,
389_1005_DN,11:39:34,11:39:34,O01_DN,51699,,
377_1023_DN,06:38:06,06:46:36,R28_DN,71948,,
377_1023_DN,06:49:15,06:49:50,R27_DN,71949,,
377_1023_DN,06:52:18,06:52:48,R26_DN,71950,,
377_1023_DN,06:55:21,06:55:51,R25_DN,71951,,
377_1023_DN,06:57:08,06:57:38,R24_DN,71952,,
377_1023_DN,06:59:17,06:59:47,R23_DN,71953,,
377_1023_DN,07:02:19,07:02:44,R22_DN,71954,,
377_1023_DN,07:04:13,07:04:37,R21_DN,71955,,
377_1023_DN,07:05:52,07:06:17,R20_DN,71956,,
377_1023_DN,07:08:03,07:08:30,R19_DN,71957,,
377_1023_DN,07:09:30,07:09:55,R18_DN,71958,,
377_1023_DN,07:11:09,07:11:36,R17_DN,71959,,
377_1023_DN,07:13:06,07:13:33,R16_DN,71960,,
377_1023_DN,07:15:05,07:15:35,R15_DN,71961,,
377_1023_DN,07:17:28,07:17:58,R14_DN,71962,,
377_1023_DN,07:19:23,07:20:08,R13_DN,71963,,
377_1023_DN,07:21:09,07:21:39,R12_DN,71964,,
377_1023_DN,07:22:40,07:23:10,R11_DN,71965,,
377_1023_DN,07:24:22,07:25:07,R10_DN,71966,,
377_1023_DN,07:26:14,07:26:44,R09_DN,71967,,
377_1023_DN,07:28:10,07:28:45,R08_DN,71968,,
377_1023_DN,07:31:55,07:32:25,R07_DN,71969,,
377_1023_DN,07:33:40,07:34:05,R06_DN,71970,,
377_1023_DN,07:35:25,07:36:00,R05_DN,71971,,
377_1023_DN,07:37:27,07:37:53,R04_DN,71972,,
377_1023_DN,07:39:35,07:40:01,R03_DN,71973,,
377_1023_DN,07:42:13,07:42:13,R02_DN,71974,,
377_1031_DN,14:43:35,14:56:35,R28_DN,72056,,
377_1031_DN,14:59:04,14:59:29,R27_DN,72057,,
377_1031_DN,15:01:46,15:02:13,R26_DN,72058,,
377_1031_DN,15:04:32,15:04:59,R25_DN,72059,,
377_1031_DN,15:06:16,15:06:41,R24_DN,72060,,
377_1031_DN,15:08:20,15:08:44,R23_DN,72061,,
377_1031_DN,15:11:11,15:11:41,R22_DN,72062,,
377_1031_DN,15:13:10,15:13:35,R21_DN,72063,,
377_1031_DN,15:14:50,15:15:15,R20_DN,72064,,
377_1031_DN,15:16:59,15:17:26,R19_DN,72065,,
377_1031_DN,15:18:26,15:18:51,R18_DN,72066,,
377_1031_DN,15:20:05,15:20:30,R17_DN,72067,,
377_1031_DN,15:22:00,15:22:25,R16_DN,72068,,
377_1031_DN,15:23:57,15:24:22,R15_DN,72069,,
377_1031_DN,15:26:15,15:26:40,R14_DN,72070,,
377_1031_DN,15:28:05,15:28:35,R13_DN,72071,,
377_1031_DN,15:29:32,15:30:00,R12_DN,72072,,
377_1031_DN,15:30:57,15:31:27,R11_DN,72073,,
377_1031_DN,15:32:39,15:33:14,R10_DN,72074,,
377_1031_DN,15:34:21,15:34:49,R09_DN,72075,,
377_1031_DN,15:36:15,15:36:45,R08_DN,72076,,
377_1031_DN,15:39:55,15:40:25,R07_DN,72077,,
