stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_x_EPSG3826,stop_y_EPSG3826,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
508487,捷運台北車站(M6),25.046083,121.516828,508487,2,508367001,302149.598,2770981.393,,,,,,
THB281514,捷運西門站,25.041758,121.508263,THB281514,0,,301287.146,2770499.06,,,,,,
TRA_1000,臺北車站(鐵路),25.04775,121.51711,TRA_1000,0,,302177.347,2771166.147,,,,,,
TRA_0990,松山車站,25.04926,121.57904,TRA_0990,0,,308425.612,2771358.713,,,,,,
076,頂埔,24.96012,121.4205,,1,,292459.205,2761426.146,BL01,板南線,,Asia/Taipei,1,
BL01_DN,頂埔-下行月臺(板南線),24.96012,121.4205,,0,076,292459.205,2761426.146,BL01,板南線,,Asia/Taipei,1,二
077,永寧,24.96682,121.43613,,1,,294035.051,2762173.239,BL02,板南線,,Asia/Taipei,1,
BL02_DN,永寧-下行月臺(板南線),24.96682,121.43613,,0,077,294035.051,2762173.239,BL02,板南線,,Asia/Taipei,1,二
078,土城,24.97313,121.44432,,1,,294859.699,2762874.839,BL03,板南線,,Asia/Taipei,1,
BL03_DN,土城-下行月臺(板南線),24.97313,121.44432,,0,078,294859.699,2762874.839,BL03,板南線,,Asia/Taipei,1,二
079,海山,24.985305,121.44873,,1,,295300.49,2764224.852,BL04,板南線,,Asia/Taipei,1,
BL04_DN,海山-下行月臺(板南線,24.985305,121.44873,,0,079,295300.49,2764224.852,BL04,板南線,,Asia/Taipei,1,二
080,亞東醫院,24.99828,121.452465,,1,,295672.758,2765663.266,BL05,板南線,,Asia/Taipei,1,
BL05_DN,亞東醫院-下行月臺(板南線),24.99828,121.452465,,0,080,295672.758,2765663.266,BL05,板南線,,Asia/Taipei,1,二
081,府中,25.008465,121.459276,,1,,296356.462,2766793.711,BL06,板南線,,Asia/Taipei,1,
BL06_DN,府中-下行月臺(板南線),25.008465,121.459276,,0,081,296356.462,2766793.711,BL06,板南線,,Asia/Taipei,1,二
082,板橋,25.013825,121.462305,,1,,296660.169,2767388.447,BL07,板南線,,Asia/Taipei,1,
BL07_DN,板橋-下行月臺(板南線),25.013825,121.462305,,0,082,296660.169,2767388.447,BL07,板南線,,Asia/Taipei,1,二
083,新埔,25.02327,121.468055,,1,,297236.907,2768436.61,BL08,板南線,,Asia/Taipei,1,
BL08_DN,新埔-下行月臺(板南線),25.02327,121.468055,,0,083,297236.907,2768436.61,BL08,板南線,,Asia/Taipei,1,二
084,江子翠,25.030265,121.47257,,1,,297689.872,2769212.991,BL09,板南線,,Asia/Taipei,1,
BL09_DN,江子翠-下行月臺(板南線),25.030265,121.47257,,0,084,297689.872,2769212.991,BL09,板南線,,Asia/Taipei,1,二
085,龍山寺,25.03528,121.500325,,1,,300488.787,2769778.539,BL10,板南線,,Asia/Taipei,1,
BL10_DN,龍山寺-下行月臺(板南線),25.03528,121.500325,,0,085,300488.787,2769778.539,BL10,板南線,,Asia/Taipei,1,二
086,西門,25.042025,121.508175,,1,,301278.155,2770528.601,BL11G12,板南線/松山新店線,,Asia/Taipei,1,
BL11_DN,西門-下行月臺(板南線),25.042025,121.508175,,0,086,301278.155,2770528.601,BL11,板南線,,Asia/Taipei,1,三
G12_UP,西門-上行月臺(松山新店線),25.042025,121.508175,,0,086,301278.155,2770528.601,G12,松山新店線,,Asia/Taipei,1,二
051,台北車站,25.04631,121.517415,,1,,302208.733,2771006.763,BL12R10,板南線/淡水信義線,,Asia/Taipei,1,
BL12_DN,台北車站-下行月臺(板南線),25.04631,121.517415,,0,051,302208.733,2771006.763,BL12,板南線,,Asia/Taipei,1,四
R10_DN,台北車站-下行月臺(淡水信義線),25.04631,121.517415,,0,051,302208.733,2771006.763,R10,淡水信義線,,Asia/Taipei,1,二
088,善導寺,25.04468,121.523885,,1,,302862.286,2770828.727,BL13,板南線,,Asia/Taipei,1,
BL13_DN,善導寺-下行月臺(板南線),25.04468,121.523885,,0,088,302862.286,2770828.727,BL13,板南線,,Asia/Taipei,1,二
089,忠孝新生,25.042498,121.53321,,1,,303804.189,2770590.711,BL14O07,板南線/中和新蘆線,,Asia/Taipei,1,
BL14_DN,忠孝新生-下行月臺(板南線),25.042498,121.53321,,0,089,303804.189,2770590.711,BL14,板南線,,Asia/Taipei,1,二
O07_UP,忠孝新生-上行月臺(中和新蘆線),25.042498,121.53321,,0,089,303804.189,2770590.711,O07,中和新蘆線,,Asia/Taipei,1,三
O07_DN,忠孝新生-下行月臺(中和新蘆線),25.042498,121.53321,,0,089,303804.189,2770590.711,O07,中和新蘆線,,Asia/Taipei,1,四
010,忠孝復興,25.041749,121.545026,,1,,304996.853,2770512.496,BR10BL15,文湖線/板南線,,Asia/Taipei,1,
BL15_DN,忠孝復興-下行月臺(板南線),25.041749,121.545026,,0,010,304996.853,2770512.496,BL15,板南線,,Asia/Taipei,1,二
091,忠孝敦化,25.041505,121.55045,,1,,305544.293,2770487.684,BL16,板南線,,Asia/Taipei,1,
BL16_DN,忠孝敦化-下行月臺(板南線),25.041505,121.55045,,0,091,305544.293,2770487.684,BL16,板南線,,Asia/Taipei,1,二
092,國父紀念館,25.04137,121.557815,,1,,306287.55,2770475.774,BL17,板南線,,Asia/Taipei,1,
BL17_DN,國父紀念館-下行月臺(板南線),25.04137,121.557815,,0,092,306287.55,2770475.774,BL17,板南線,,Asia/Taipei,1,二
093,市政府,25.041135,121.565685,,1,,307081.815,2770453.039,BL18,板南線,,Asia/Taipei,1,
BL18_DN,市政府-下行月臺(板南線),25.041135,121.565685,,0,093,307081.815,2770453.039,BL18,板南線,,Asia/Taipei,1,二
094,永春,25.040855,121.5762,,1,,308143.011,2770426.5,BL19,板南線,,Asia/Taipei,1,
BL19_DN,永春-下行月臺(板南線),25.040855,121.5762,,0,094,308143.011,2770426.5,BL19,板南線,,Asia/Taipei,1,二
095,後山埤,25.044715,121.58227,,1,,308753.695,2770856.679,BL20,板南線,,Asia/Taipei,1,
BL20_DN,後山埤-下行月臺(板南線),25.044715,121.58227,,0,095,308753.695,2770856.679,BL20,板南線,,Asia/Taipei,1,二
096,昆陽,25.0504585,121.5932285,,1,,309856.694,2771497.667,BL21,板南線,,Asia/Taipei,1,
BL21_DN,昆陽-下行月臺(板南線),25.0504585,121.5932285,,0,096,309856.694,2771497.667,BL21,板南線,,Asia/Taipei,1,二
097,南港,25.052035,121.60697,,1,,311242.46,2771678.44,BL22,板南線,,Asia/Taipei,1,
BL22_DN,南港-下行月臺(板南線),25.052035,121.60697,,0,097,311242.46,2771678.44,BL22,板南線,,Asia/Taipei,1,二
031,南港展覽館,25.054919,121.616861,,1,,312239.017,2772002.405,BR24BL23,文湖線/板南線,,Asia/Taipei,1,
BL23_DN,南港展覽館-下行月臺(板南線),25.054919,121.616861,,0,031,312239.017,2772002.405,BL23,板南線,,Asia/Taipei,1,二
033,新店,24.95761,121.53746,,1,,304270.325,2761189.791,G01,松山新店線,,Asia/Taipei,1,
G01_UP,新店-上行月臺(松山新店線),24.95761,121.53746,,0,033,304270.325,2761189.791,G01,松山新店線,,Asia/Taipei,1,一
034,新店區公所,24.96744,121.5413,,1,,304653.737,2762280.146,G02,松山新店線,,Asia/Taipei,1,
G02_UP,新店區公所-上行月臺(松山新店線),24.96744,121.5413,,0,034,304653.737,2762280.146,G02,松山新店線,,Asia/Taipei,1,一
035,七張,24.97545,121.542985,,1,,304820.321,2763168.05,G03,松山新店線,,Asia/Taipei,1,
G03_UP,七張-上行月臺(松山新店線),24.97545,121.542985,,0,035,304820.321,2763168.05,G03,松山新店線,,Asia/Taipei,1,一
036,大坪林,24.9827205,121.54134,,1,,304651.023,2763972.701,G04Y07,松山新店線/環狀線,,Asia/Taipei,1,
G04_UP,大坪林-上行月臺(松山新店線),24.9827205,121.54134,,0,036,304651.023,2763972.701,G04,松山新店線,,Asia/Taipei,1,一
037,景美,24.992824,121.5406975,,1,,304581.697,2765091.555,G05,松山新店線,,Asia/Taipei,1,
G05_UP,景美-上行月臺(松山新店線),24.992824,121.5406975,,0,037,304581.697,2765091.555,G05,松山新店線,,Asia/Taipei,1,一
038,萬隆,25.001978,121.539008,,1,,304407.113,2766104.818,G06,松山新店線,,Asia/Taipei,1,
G06_UP,萬隆-上行月臺(松山新店線),25.001978,121.539008,,0,038,304407.113,2766104.818,G06,松山新店線,,Asia/Taipei,1,一
039,公館,25.014781,121.534358,,1,,303932.145,2767521.084,G07,松山新店線,,Asia/Taipei,1,
G07_UP,公館-上行月臺(松山新店線),25.014781,121.534358,,0,039,303932.145,2767521.084,G07,松山新店線,,Asia/Taipei,1,一
040,台電大樓,25.020733,121.5281435,,1,,303302.341,2768177.899,G08,松山新店線,,Asia/Taipei,1,
G08_UP,台電大樓-上行月臺(松山新店線),25.020733,121.5281435,,0,040,303302.341,2768177.899,G08,松山新店線,,Asia/Taipei,1,一
041,古亭,25.026373,121.522868,,1,,302767.496,2768800.549,G09O05,松山新店線/中和新蘆線,,Asia/Taipei,1,
G09_UP,古亭-上行月臺(松山新店線),25.026373,121.522868,,0,041,302767.496,2768800.549,G09,松山新店線,,Asia/Taipei,1,一
O05_UP,古亭-上行月臺(中和新蘆線),25.026373,121.522868,,0,041,302767.496,2768800.549,O05,中和新蘆線,,Asia/Taipei,1,二
O05_DN,古亭-下行月臺(中和新蘆線),25.026373,121.522868,,0,041,302767.496,2768800.549,O05,中和新蘆線,,Asia/Taipei,1,四
042,中正紀念堂,25.032767,121.518273,,1,,302301.052,2769506.999,G10R08,松山新店線/淡水信義線,,Asia/Taipei,1,
G10_UP,中正紀念堂-上行月臺(松山新店線),25.032767,121.518273,,0,042,302301.052,2769506.999,G10,松山新店線,,Asia/Taipei,1,二
R08_DN,中正紀念堂-下行月臺(淡水信義線),25.032767,121.518273,,0,042,302301.052,2769506.999,R08,淡水信義線,,Asia/Taipei,1,三
043,小南門,25.035585,121.51088,,1,,301553.804,2769816.3,G11,松山新店線,,Asia/Taipei,1,
G11_UP,小南門-上行月臺(松山新店線),25.035585,121.51088,,0,043,301553.804,2769816.3,G11,松山新店線,,Asia/Taipei,1,一
105,北門,25.049554,121.510184,,1,,301477.736,2771363.316,G13,松山新店線,,Asia/Taipei,1,
G13_UP,北門-上行月臺(松山新店線),25.049554,121.510184,,0,105,301477.736,2771363.316,G13,松山新店線,,Asia/Taipei,1,一
053,中山,25.052621,121.520364,,1,,302503.613,2771706.945,R11G14,松山新店線/淡水信義線,,Asia/Taipei,1,
G14_UP,中山-上行月臺(松山新店線),25.052621,121.520364,,0,053,302503.613,2771706.945,G14,松山新店線,,Asia/Taipei,1,三
R11_DN,中山-下行月臺(淡水信義線),25.052621,121.520364,,0,053,302503.613,2771706.945,R11,淡水信義線,,Asia/Taipei,1,二
