agency_id,agency_name,agency_url,agency_timezone
NWT_16176,臺北客運,http://www.tpebus.com.tw,Asia/Taipei
NWT_16177,首都客運,http://www.capital-bus.com.tw,Asia/Taipei
NWT_16178,新店客運,http://www.sindianbus.com.tw,Asia/Taipei
NWT_16179,三重客運,http://www.sanchung-bus.com.tw,Asia/Taipei
NWT_16181,欣欣客運,http://www.shinbus.com.tw/,Asia/Taipei
NWT_16182,大都會客運,http://www.mtcbus.com.tw,Asia/Taipei
NWT_16183,大南汽車,http://www.dnbus.com.tw/,Asia/Taipei
NWT_16185,指南客運,http://www.csgroup-bus.com.tw,Asia/Taipei
NWT_16186,淡水客運,http://www.csgroup-bus.com.tw,Asia/Taipei
NWT_16187,光華巴士,http://www.csgroup-bus.com.tw,Asia/Taipei
NWT_16188,新北客運,http://www.csgroup-bus.com.tw,Asia/Taipei
NWT_16189,中興巴士,http://www.csgroup-bus.com.tw/,Asia/Taipei
NWT_16190,基隆客運,http://www.kl-bus.com.tw,Asia/Taipei
NWT_16224,國光客運,http://www.kingbus.com.tw,Asia/Taipei
NWT_16228,淡水區公所,http://www.tamsui.ntpc.gov.tw,Asia/Taipei
NWT_16229,三芝區公所,http://www.sanzhi.ntpc.gov.tw,Asia/Taipei
NWT_16230,八里區公所,http://www.bali.ntpc.gov.tw,Asia/Taipei
NWT_16231,石門區公所,http://www.shimen.ntpc.gov.tw,Asia/Taipei
NWT_16232,新莊區公所,http://www.xinzhuang.ntpc.gov.tw,Asia/Taipei
NWT_16233,泰山區公所,http://www.taishan.ntpc.gov.tw,Asia/Taipei
NWT_16235,林口區公所,http://www.linkou.ntpc.gov.tw,Asia/Taipei
NWT_16236,三重區公所,http://www.sanchong.ntpc.gov.tw/,Asia/Taipei
NWT_16237,蘆洲區公所,http://www.luzhou.ntpc.gov.tw,Asia/Taipei
NWT_16238,中和區公所,http://www.zhonghe.ntpc.gov.tw,Asia/Taipei
NWT_16240,永和區公所,http://www.yonghe.ntpc.gov.tw,Asia/Taipei
NWT_16242,樹林區公所,http://www.shulin.ntpc.gov.tw,Asia/Taipei
NWT_16243,三峽區公所,http://www.sanxia.ntpc.gov.tw,Asia/Taipei
NWT_16244,鶯歌區公所,http://www.yingge.ntpc.gov.tw,Asia/Taipei
NWT_16245,新店區公所,http://www.xindian.ntpc.gov.tw,Asia/Taipei
NWT_16246,深坑區公所,http://www.shenkeng.ntpc.gov.tw,Asia/Taipei
NWT_16247,坪林區公所,http://www.pinglin.ntpc.gov.tw,Asia/Taipei
NWT_16248,瑞芳區公所,http://www.ruifang.ntpc.gov.tw,Asia/Taipei
NWT_16249,雙溪區公所,http://www.shuangxi.ntpc.gov.tw,Asia/Taipei
NWT_16250,平溪區公所,http://www.pingxi.ntpc.gov.tw,Asia/Taipei
NWT_16251,貢寮區公所,http://www.gongliao.ntpc.gov.tw,Asia/Taipei
NWT_16252,萬里區公所,http://www.wanli.ntpc.gov.tw,Asia/Taipei
NWT_16253,金山區公所,http://www.jinshan.ntpc.gov.tw,Asia/Taipei
NWT_16254,汐止區公所,http://www.xizhi.ntpc.gov.tw,Asia/Taipei
NWT_U-16188-16189,聯營-新北客運-中興巴士,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16176-16177,聯營-臺北客運-首都客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16176-16179,聯營-臺北客運-三重客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16176-16182,聯營-臺北客運-大都會客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16185-16187,聯營-指南客運-光華巴士,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16186-16190,聯營-淡水客運-基隆客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16185-16189,聯營-指南客運-中興巴士,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16177-16179-16186,聯營-首都客運-三重客運-淡水客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16179-16186,聯營-三重客運-淡水客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16185-16186,聯營-指南客運-淡水客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16177-16278,聯營-首都客運-桃園客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16177-16182,聯營-首都客運-大都會客運,https://www.motc.gov.tw/,Asia/Taipei
NWT_U-16176-16177-16179-16182,聯營-臺北客運-首都客運-三重客運-大都會客運,https://www.motc.gov.tw/,Asia/Taipei
TPE_100,臺北客運,http://www.tpebus.com.tw,Asia/Taipei
TPE_1000,東南客運,http://www.southeastbus.com,Asia/Taipei
TPE_1100,大南汽車,http://www.dnbus.com.tw/,Asia/Taipei
TPE_16123,皇家客運,http://www.royalbus.com.tw,Asia/Taipei
TPE_200,首都客運,http://www.capital-bus.com.tw,Asia/Taipei
TPE_300,新店客運,http://www.sindianbus.com.tw,Asia/Taipei
TPE_400,三重客運,http://www.sanchung-bus.com.tw,Asia/Taipei
TPE_5100,指南客運,http://www.csgroup-bus.com.tw,Asia/Taipei
TPE_5200,淡水客運,http://www.csgroup-bus.com.tw,Asia/Taipei
TPE_5300,光華巴士,http://www.csgroup-bus.com.tw,Asia/Taipei
TPE_5400,新北客運,http://www.csgroup-bus.com.tw,Asia/Taipei
