service_id,date,exception_type
403,20240101,2
377,20240101,2
183,20240101,2
389,20240101,2
brownN,20240101,2
432,20240101,1
425,20240101,1
398,20240101,1
360,20240101,1
brownH,20240101,1
431,20240217,2
426,20240217,2
398,20240217,2
360,20240217,2
brownH,20240217,2
403,20240217,1
377,20240217,1
183,20240217,1
389,20240217,1
brownN,20240217,1
403,20240228,2
377,20240228,2
183,20240228,2
389,20240228,2
brownN,20240228,2
432,20240228,1
425,20240228,1
398,20240228,1
360,20240228,1
brownH,20240228,1
403,20240404,2
377,20240404,2
183,20240404,2
389,20240404,2
brownN,20240404,2
431,20240404,1
426,20240404,1
398,20240404,1
360,20240404,1
brownH,20240404,1
403,20240405,2
377,20240405,2
183,20240405,2
389,20240405,2
brownN,20240405,2
432,20240405,1
425,20240405,1
398,20240405,1
360,20240405,1
brownH,20240405,1
403,20240610,2
377,20240610,2
183,20240610,2
389,20240610,2
brownN,20240610,2
432,20240610,1
425,20240610,1
398,20240610,1
360,20240610,1
brownH,20240610,1
403,20240917,2
377,20240917,2
183,20240917,2
389,20240917,2
brownN,20240917,2
432,20240917,1
425,20240917,1
398,20240917,1
360,20240917,1
brownH,20240917,1
403,20241010,2
377,20241010,2
183,20241010,2
389,20241010,2
brownN,20241010,2
432,20241010,1
425,20241010,1
398,20241010,1
360,20241010,1
brownH,20241010,1
