route_id,agency_id,route_short_name,route_long_name,route_type
NWT101160_0,NWT_16176,242,242,3
NWT101160_1,NWT_16176,242,242,3
NWT10143_0,NWT_16176,棕7,棕7,3
NWT10143_1,NWT_16176,棕7,棕7,3
NWT101480_0,NWT_16176,702,702,3
NWT101480_1,NWT_16176,702,702,3
NWT101490_0,NWT_16176,624綠野香坡,624綠野香坡,3
NWT101490_1,NWT_16176,624綠野香坡,624綠野香坡,3
NWT101510_0,NWT_16176,701,701,3
NWT101510_1,NWT_16176,701,701,3
NWT101610_0,NWT_16176,231,231,3
NWT101610_1,NWT_16176,231,231,3
NWT10162_0,NWT_16176,245,245,3
NWT10162_1,NWT_16176,245,245,3
NWT158438_0,NWT_16176,656,656,3
NWT158438_1,NWT_16176,656,656,3
NWT10164_0,NWT_16176,657,657,3
NWT10164_1,NWT_16176,657,657,3
NWT162088_0,NWT_16176,657經海山拖吊場,657經海山拖吊場,3
NWT162088_1,NWT_16176,657經海山拖吊場,657經海山拖吊場,3
NWT101710_0,NWT_16176,201,201,3
NWT101710_1,NWT_16176,201,201,3
NWT101720_0,NWT_16176,243,243,3
NWT101720_1,NWT_16176,243,243,3
NWT159537_0,NWT_16176,243寵物公車,243寵物公車,3
NWT159537_1,NWT_16176,243寵物公車,243寵物公車,3
NWT10173_0,NWT_16176,241,241,3
NWT10173_1,NWT_16176,241,241,3
NWT101950_0,NWT_16176,705,705,3
NWT101950_1,NWT_16176,705,705,3
NWT158514_0,NWT_16176,706,706,3
NWT158514_1,NWT_16176,706,706,3
NWT158434_0,NWT_16177,藍2,藍2,3
NWT158434_1,NWT_16177,藍2,藍2,3
NWT158645_0,NWT_16178,909,909,3
NWT158645_1,NWT_16178,909,909,3
NWT10329_0,NWT_16178,906,906,3
NWT10329_1,NWT_16178,906,906,3
NWT10424_0,NWT_16179,520,520,3
NWT10424_1,NWT_16179,520,520,3
NWT158513_0,NWT_16179,640,640,3
NWT158513_1,NWT_16179,640,640,3
NWT10474_0,NWT_16179,636,636,3
NWT10474_1,NWT_16179,636,636,3
NWT158511_0,NWT_16179,635,635,3
NWT158511_1,NWT_16179,635,635,3
NWT104910_0,NWT_16179,637,637,3
NWT104910_1,NWT_16179,637,637,3
NWT104920_0,NWT_16179,638,638,3
