stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
AirLine_TSA,臺北松山國際機場,25.0636769655,121.551880574,AirLine_TSA,0,
THB129964,昌吉重慶路口,25.06567,121.51382,THB129964,0,
THB129965,民族重慶路口,25.068401,121.513756,THB129965,0,
THB129966,酒泉重慶路口,25.07173,121.51381,THB129966,0,
THB130007,民族重慶路口,25.0689,121.51375,THB130007,0,
THB130008,昌吉重慶路口,25.066115,121.513671,THB130008,0,
THB130010,涼州重慶路口,25.061038,121.513517,THB130010,0,
THB130061,捷運大橋頭站,25.06254,121.51357,THB130061,0,
THB130179,菜寮(重新路),25.05728,121.48808,THB130179,0,
THB133980,圓環(南京),25.053645,121.51573,THB133980,0,
THB139122,捷運六張犁站(基隆路),25.02405,121.55183,THB139122,0,
THB139124,捷運萬隆站,25.001677,121.538971,THB139124,0,
THB139187,捷運萬隆站,25.0013,121.53933,THB139187,0,
THB139189,捷運六張犁站(基隆路),25.023712,121.552041,THB139189,0,
THB140029,民族重慶路口,25.068753,121.513625,THB140029,0,
THB140031,捷運大橋頭站,25.063339,121.513621,THB140031,0,
THB140032,涼州重慶路口,25.061115,121.513585,THB140032,0,
THB140041,民族重慶路口,25.068491,121.513828,THB140041,0,
THB140607,啟聰學校,25.074485,121.51378,THB140607,0,
THB142836,重慶站,25.073467,121.513915,THB142836,0,
THB143882,板橋客運站,25.01551,121.46511,THB143882,0,
THB152884,公館,25.012108,121.537981,THB152884,0,
THB152885,福和橋(林森路),25.0038,121.52342,THB152885,0,
THB152912,福和橋(永元路),25.0029,121.52283,THB152912,0,
THB152913,公館,25.01221,121.53863,THB152913,0,
THB162550,涼州重慶路口,25.06054,121.51353,THB162550,0,
THB162954,民族重慶路口,25.068901,121.513751,THB162954,0,
THB163094,捷運大橋頭站,25.063439,121.51358,THB163094,0,
THB163957,時報廣場,25.068589,121.58313,THB163957,0,
THB166241,涼州重慶路口,25.060927,121.513545,THB166241,0,
THB167227,民生重慶路口,25.057167,121.513774,THB167227,0,
THB168092,民權敦化路口,25.062164,121.548229,THB168092,0,
THB168094,民權龍江路口,25.06261,121.539613,THB168094,0,
THB168095,民權建國路口,25.062374,121.537616,THB168095,0,
THB168096,民權松江路口,25.0625301574368,121.533598984681,THB168096,0,
THB168097,民權吉林路口,25.062614,121.529261,THB168097,0,
THB168098,捷運中山國小站,25.06272,121.52608,THB168098,0,
THB168099,民權中山路口,25.062818,121.523044,THB168099,0,
THB168101,昌吉重慶路口,25.065561,121.51373,THB168101,0,
THB168102,民族重慶路口,25.06841,121.513786,THB168102,0,
THB168103,酒泉重慶路口,25.07181,121.513826,THB168103,0,
THB168129,啟聰學校,25.07456,121.51378,THB168129,0,
THB168132,民權中山路口,25.06266,121.522241,THB168132,0,
THB168133,捷運中山國小站,25.06264,121.52531,THB168133,0,
THB168134,民權吉林路口,25.0624,121.529801,THB168134,0,
THB168135,民權松江路口,25.06247,121.532721,THB168135,0,
THB168136,民權建國路口,25.06233,121.536401,THB168136,0,
THB168137,民權龍江路口,25.06228,121.540301,THB168137,0,
THB168139,民權敦化路口,25.06202613,121.5482433,THB168139,0,
THB168193,松山機場,25.06343,121.552099,THB168193,0,
THB168194,捷運忠孝敦化站,25.042219,121.54879,THB168194,0,
THB168217,捷運忠孝敦化站,25.04313,121.549164,THB168217,0,
THB181857,營盤口,25.03142,121.43043,THB181857,0,
THB181861,丹鳳國小,25.02361,121.41495,THB181861,0,
THB181913,丹鳳國小,25.02345,121.41454,THB181913,0,
THB181956,營盤口,25.03098,121.42949,THB181956,0,
THB182110,啟聰學校,25.074899,121.514032,THB182110,0,
THB184657,興安華城,25.05696,121.54402,THB184657,0,
THB184658,捷運南京復興站,25.053529,121.543753,THB184658,0,
THB184659,復興南路,25.04713,121.54372,THB184659,0,
THB184660,捷運忠孝復興站,25.041821,121.542538,THB184660,0,
THB184662,長安東路二段,25.049541,121.533216,THB184662,0,
THB184689,松江新村,25.061432,121.533301,THB184689,0,
THB188114,民生松江路口,25.05779,121.53458,THB188114,0,
THB188119,臺北科技大學(忠孝),25.042132,121.534584,THB188119,0,
THB188121,松江長春路口,25.055458,121.533232,THB188121,0,
THB188130,成淵高中,25.061178,121.518159,THB188130,0,
THB189257,三重站,25.07028,121.491734,THB189257,0,
THB189264,三重站,25.070694,121.492258,THB189264,0,
THB208919,成淵高中,25.060979,121.518341,THB208919,0,
THB211812,松壽路口,25.03600562,121.5666535,THB211812,0,
THB212946,靜修女中,25.05711,121.51506,THB212946,0,
THB213948,昌吉重慶路口,25.066121,121.513671,THB213948,0,
THB214808,捷運大橋頭站,25.062541,121.513569,THB214808,0,
THB214832,昌吉重慶路口,25.066021,121.513652,THB214832,0,
THB214833,捷運大橋頭站,25.06344,121.51358,THB214833,0,
THB214834,涼州重慶路口,25.06119,121.5136,THB214834,0,
THB220953,港墘路,25.0759,121.574605,THB220953,0,
THB220987,捷運迴龍站,25.021663,121.411386,THB220987,0,
THB221057,金陵女中,25.04295539,121.4667502,THB221057,0,
THB221065,中興街口,25.0449,121.46844,THB221065,0,
THB221228,鄉雲里,25.004469,121.459913,THB221228,0,
THB221258,板橋外站,25.01022,121.46179,THB221258,0,
THB221547,捷運新莊站(新莊郵局),25.035739,121.449934,THB221547,0,
THB221659,捷運新莊站(新莊郵局),25.035459,121.449939,THB221659,0,
THB237066,臺北轉運站,25.04887,121.51761,THB237066,0,
THB241769,市政府(松壽),25.035999,121.564607,THB241769,0,
THB247056,老師里,25.07212,121.51142,THB247056,0,
THB247104,行天宮,25.063364,121.533067,THB247104,0,
THB247105,臺北大學(臺北校區),25.05766,121.54283,THB247105,0,
THB247146,臺北大學(臺北校區),25.05793,121.54174,THB247146,0,
THB247147,行天宮,25.063401,121.533381,THB247147,0,
THB251509,保元宮,25.03823,121.45958,THB251509,0,
THB251510,大眾廟,25.03719,121.45738,THB251510,0,
THB251678,三洋,25.03012,121.42674,THB251678,0,
THB251831,土地公廟,25.0542827200925,121.596133656643,THB251831,0,
THB252056,土地公廟,25.05448,121.596033,THB252056,0,
THB252063,士林官邸(中正),25.09657,121.53159,THB252063,0,
THB252155,士林區行政中心(基河),25.09263,121.52048,THB252155,0,
THB252257,西新里(新新公園),25.053223,121.589714,THB252257,0,
THB252477,西新里(新新公園),25.05351,121.590002,THB252477,0,
THB252594,仁寶大樓,25.07945,121.56848,THB252594,0,
THB253341,三洋,25.030268,121.426655,THB253341,0,
THB253393,士林區行政中心(基河),25.092938,121.520414,THB253393,0,
THB253502,玉成國小,25.05437,121.59251,THB253502,0,
THB253558,汐止,25.06907,121.66155,THB253558,0,
THB253559,汐科站南站,25.06303,121.64701,THB253559,0,
THB253592,台北君悅酒店,25.03567,121.56292,THB253592,0,
THB253681,汐止國中,25.0670276,121.6570504,THB253681,0,
THB253683,汐止國小,25.0663,121.65495,THB253683,0,
THB253686,福二街口,25.081804,121.696852,THB253686,0,
THB253687,福二街口,25.08192,121.69671,THB253687,0,
THB253843,八德東寧路口,25.048834,121.564607,THB253843,0,
THB253869,光復路口,25.04801,121.55684,THB253869,0,
THB253947,八德東寧路口,25.048889,121.563889,THB253947,0,
THB254038,保長坑,25.071295,121.679147,THB254038,0,
THB254049,南港,25.055443,121.613561,THB254049,0,
THB254112,板橋客運站,25.015449,121.465259,THB254112,0,
THB254113,松山農會,25.049918,121.57354,THB254113,0,
THB254115,武功國小(羅斯福),25.0029,121.53884,THB254115,0,
THB254116,武功國小(羅斯福),25.00312,121.538566,THB254116,0,
THB254154,南港輪胎,25.053503,121.600452,THB254154,0,
THB254155,南港輪胎,25.05334,121.60052,THB254155,0,
THB254194,美仁里,25.048075,121.554732,THB254194,0,
THB254217,師大分部,25.0078,121.53852,THB254217,0,
THB254273,堵南里(百福車站),25.07779,121.69227,THB254273,0,
THB254275,崇義高中(五堵車站),25.07747,121.6679,THB254275,0,
THB254306,昊天嶺,25.06202,121.64446,THB254306,0,
