service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
403,1,1,1,1,1,0,0,20231201,20260101
377,1,1,1,1,1,0,0,20231201,20260101
183,1,1,1,1,1,0,0,20231201,20260101
389,1,1,1,1,1,0,0,20231201,20260101
431,0,0,0,0,0,1,0,20231201,20260101
432,0,0,0,0,0,0,1,20231201,20260101
426,0,0,0,0,0,1,0,20231201,20260101
425,0,0,0,0,0,0,1,20231201,20260101
398,0,0,0,0,0,1,1,20231201,20260101
360,0,0,0,0,0,1,1,20231201,20260101
brownN,1,1,1,1,1,0,0,20231201,20260101
brownH,0,0,0,0,0,1,1,20231201,20260101
