route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
TRTC_BL_BL-1_0,TRTC,頂埔－南港展覽館,頂埔－南港展覽館,1,,,
TRTC_BL_BL-1_1,TRTC,南港展覽館－頂埔,南港展覽館－頂埔,1,,,
TRTC_BL_BL-2_0,TRTC,亞東醫院－南港展覽館,亞東醫院－南港展覽館,1,,,
TRTC_BL_BL-2_1,TRTC,南港展覽館－亞東醫院,南港展覽館－亞東醫院,1,,,
TRTC_BR_BR-1_0,TRTC,動物園－南港展覽館,動物園－南港展覽館,1,,,
TRTC_BR_BR-1_1,TRTC,南港展覽館－動物園,南港展覽館－動物園,1,,,
TRTC_G_G-1_0,TRTC,新店－松山,新店－松山,1,,,
TRTC_G_G-1_1,TRTC,松山－新店,松山－新店,1,,,
TRTC_G_G-2_0,TRTC,台電大樓－松山,台電大樓－松山,1,,,
TRTC_G_G-2_1,TRTC,松山－台電大樓,松山－台電大樓,1,,,
TRTC_G_G-3_0,TRTC,七張－小碧潭,七張－小碧潭,1,,,
TRTC_G_G-3_1,TRTC,小碧潭－七張,小碧潭－七張,1,,,
TRTC_O_O-1_0,TRTC,南勢角－迴龍,南勢角－迴龍,1,,,
TRTC_O_O-1_1,TRTC,迴龍－南勢角,迴龍－南勢角,1,,,
TRTC_O_O-2_0,TRTC,南勢角－蘆洲,南勢角－蘆洲,1,,,
TRTC_O_O-2_1,TRTC,蘆洲－南勢角,蘆洲－南勢角,1,,,
TRTC_R_R-1_0,TRTC,象山－淡水,象山－淡水,1,,,
TRTC_R_R-1_1,TRTC,淡水－象山,淡水－象山,1,,,
TRTC_R_R-2_0,TRTC,大安－北投,大安－北投,1,,,
TRTC_R_R-2_1,TRTC,北投－大安,北投－大安,1,,,
TRTC_R_R-3_0,TRTC,北投－新北投,北投－新北投,1,,,
TRTC_R_R-3_1,TRTC,新北投－北投,新北投－北投,1,,,
TRTCMG_MK_MK-1_0,TRTC,動物園－貓空,動物園－貓空,1,,,
TRTCMG_MK_MK-1_1,TRTC,貓空－動物園,貓空－動物園,1,,,
Blue,TRTC,板南線,,1,"南港展覽館－頂埔, 南港展覽館－亞東醫院",0070BD,FFFFFF
Red,TRTC,淡水信義線,,1,"淡水－象山,北投－大安",E3002C,FFFFFF
Orange,TRTC,中和新蘆線,,1,"迴龍－南勢角, 蘆洲－南勢角",F8B61C,000000
Green,TRTC,松山新店線,,1,"松山－新店, 松山－臺電大樓",008659,FFFFFF
Brown,TRTC,文湖線,,1,動物園－南港展覽館,C48C31,FFFFFF
BX,TRTC,新北投支線,,1,北投-新北投,F3A5A8,000000
QX,TRTC,小碧潭支線,,1,七張-小碧潭,DAE11F,000000
TRA_1007_1_1132,TRA,七堵-鶯歌,七堵-鶯歌,2,,,
TRA_1104_0_1131,TRA,七堵-基隆,七堵-基隆,2,,,
TRA_1106_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
TRA_1108_0_1131,TRA,七堵-基隆,七堵-基隆,2,,,
TRA_1110_0_1131,TRA,南港-基隆,南港-基隆,2,,,
TRA_1140_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
TRA_1165_1_1131,TRA,基隆-七堵,基隆-七堵,2,,,
TRA_1170_0_1131,TRA,樹林-七堵,樹林-七堵,2,,,
TRA_1215_1_1131,TRA,基隆-七堵,基隆-七堵,2,,,
TRA_1220_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
TRA_1226_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
TRA_1276_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
TRA_1289_1_1131,TRA,基隆-樹林,基隆-樹林,2,,,
TRA_1295_1_1131,TRA,基隆-七堵,基隆-七堵,2,,,
TRA_1302_0_1131,TRA,樹林-基隆,樹林-基隆,2,,,
THB096802_1,THB_U-16-35,0968,0968,3,,,
THB0968A1_0,THB_U-16-35,0968A,0968A,3,,,
THB0968A2_1,THB_U-16-35,0968A,0968A,3,,,
THB103101_0,THB_43,1031,1031,3,,,
THB103102_1,THB_43,1031,1031,3,,,
THB103201_0,THB_43,1032,1032,3,,,
THB103202_1,THB_43,1032,1032,3,,,
THB106101_0,THB_43,1061,1061,3,,,
THB106102_1,THB_43,1061,1061,3,,,
THB1061A1_0,THB_43,1061A,1061A,3,,,
THB1061A2_1,THB_43,1061A,1061A,3,,,
THB106201_0,THB_43,1062,1062,3,,,
THB106202_1,THB_43,1062,1062,3,,,
THB106801_0,THB_43,1068,1068,3,,,
THB106802_1,THB_43,1068,1068,3,,,
THB107101_0,THB_42,1071,1071,3,,,
THB107102_1,THB_42,1071,1071,3,,,
THB1071A1_0,THB_42,1071A,1071A,3,,,
THB108801_0,THB_43,1088,1088,3,,,
THB108802_1,THB_43,1088,1088,3,,,
THB112101_0,THB_34,1121,1121,3,,,
THB112102_1,THB_34,1121,1121,3,,,
THB112201_0,THB_46,1122,1122,3,,,
THB112202_1,THB_46,1122,1122,3,,,
THB112501_0,THB_34,1125,1125,3,,,
THB112502_1,THB_34,1125,1125,3,,,
THB112801_0,THB_34,1128,1128,3,,,
THB112802_1,THB_34,1128,1128,3,,,
THB112901_0,THB_34,1129,1129,3,,,
THB112902_1,THB_34,1129,1129,3,,,
THB113001_0,THB_34,1130,1130,3,,,
THB113002_1,THB_34,1130,1130,3,,,
THB113201_0,THB_34,1132,1132,3,,,
THB113202_1,THB_34,1132,1132,3,,,
THB1132A1_0,THB_34,1132A,1132A,3,,,
THB1132A2_1,THB_34,1132A,1132A,3,,,
THB113301_0,THB_34,1133,1133,3,,,
THB113302_1,THB_34,1133,1133,3,,,
THB113501_0,THB_34,1135,1135,3,,,
THB113502_1,THB_34,1135,1135,3,,,
THB1135A1_0,THB_34,1135A,1135A,3,,,
THB1135A2_1,THB_34,1135A,1135A,3,,,
THB113601_0,THB_34,1136,1136,3,,,
THB113602_1,THB_34,1136,1136,3,,,
THB113701_0,THB_34,1137,1137,3,,,
THB113702_1,THB_34,1137,1137,3,,,
THB113901_0,THB_34,1139,1139,3,,,
THB113902_1,THB_34,1139,1139,3,,,
THB1139B1_0,THB_34,1139B,1139B,3,,,
THB1139B2_1,THB_34,1139B,1139B,3,,,
THB1139C1_0,THB_34,1139C,1139C,3,,,
THB1139C2_1,THB_34,1139C,1139C,3,,,
THB114001_0,THB_34,1140,1140,3,,,
THB114002_1,THB_34,1140,1140,3,,,
THB1140A1_0,THB_34,1140A,1140A,3,,,
THB1140A2_1,THB_34,1140A,1140A,3,,,
THB114101_0,THB_34,1141,1141,3,,,
THB114102_1,THB_34,1141,1141,3,,,
THB1141A1_0,THB_34,1141A,1141A,3,,,
THB1141A2_1,THB_34,1141A,1141A,3,,,
THB114201_0,THB_46,1142,1142,3,,,
THB114202_1,THB_46,1142,1142,3,,,
THB114301_0,THB_34,1143,1143,3,,,
THB114302_1,THB_34,1143,1143,3,,,
THB114501_0,THB_34,1145,1145,3,,,
THB114502_1,THB_34,1145,1145,3,,,
THB119101_0,THB_38,1191,1191,3,,,
THB119102_1,THB_38,1191,1191,3,,,
THB121201_0,THB_41,1212,1212,3,,,
THB121202_1,THB_41,1212,1212,3,,,
THB125001_0,THB_92,1250,1250,3,,,
THB125002_1,THB_92,1250,1250,3,,,
THB135601_0,THB_35,1356,1356,3,,,
THB135602_1,THB_35,1356,1356,3,,,
THB1356A1_0,THB_35,1356A,1356A,3,,,
