stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
TRA_0900,基隆,25.13167,121.73862,TRA_0900,0,
TRA_0910,三坑,25.12305,121.74202,TRA_0910,0,
TRA_0920,八堵,25.10884,121.72901,TRA_0920,0,
TRA_0930,七堵,25.09294,121.71415,TRA_0930,0,
TRA_0940,百福,25.07795,121.69379,TRA_0940,0,
TRA_0950,五堵,25.07799,121.66758,TRA_0950,0,
TRA_0960,汐止,25.06784,121.66103,TRA_0960,0,
TRA_0970,汐科,25.06322,121.64966,TRA_0970,0,
TRA_0980,南港,25.05306,121.60706,TRA_0980,0,
TRA_0990,松山,25.04926,121.57904,TRA_0990,0,
TRA_1000,臺北,25.04775,121.51711,TRA_1000,0,
TRA_1001,臺北-環島,25.04811,121.51793,TRA_1001,0,
TRA_1010,萬華,25.03337,121.50063,TRA_1010,0,
TRA_1020,板橋,25.01432,121.46368,TRA_1020,0,
TRA_1030,浮洲,25.00419,121.44477,TRA_1030,0,
TRA_1040,樹林,24.99123,121.42442,TRA_1040,0,
TRA_1050,南樹林,24.98034,121.40891,TRA_1050,0,
TRA_1060,山佳,24.97273,121.39254,TRA_1060,0,
TRA_1070,鶯歌,24.95455,121.35517,TRA_1070,0,
TRA_1080,桃園,24.98908,121.31425,TRA_1080,0,
TRA_1090,內壢,24.97281,121.25826,TRA_1090,0,
TRA_1100,中壢,24.95319,121.22533,TRA_1100,0,
TRA_1110,埔心,24.9197,121.18321,TRA_1110,0,
TRA_1120,楊梅,24.91427,121.14637,TRA_1120,0,
TRA_1130,富岡,24.93444,121.08311,TRA_1130,0,
TRA_1140,新富,24.93444,121.08309,TRA_1140,0,
TRA_1150,北湖,24.92223,121.05573,TRA_1150,0,
TRA_1160,湖口,24.903,121.04385,TRA_1160,0,
TRA_1170,新豐,24.86928,120.99646,TRA_1170,0,
TRA_1180,竹北,24.83904,121.00921,TRA_1180,0,
TRA_1190,北新竹,24.80862,120.98377,TRA_1190,0,
TRA_1191,千甲,24.80657,121.0034,TRA_1191,0,
TRA_1192,新莊,24.78819,121.02186,TRA_1192,0,
TRA_1193,竹中,24.78144,121.03103,TRA_1193,0,
TRA_1194,六家,24.80766,121.03941,TRA_1194,0,
TRA_1201,上員,24.77776,121.05582,TRA_1201,0,
TRA_1202,榮華,24.74839,121.08319,TRA_1202,0,
TRA_1203,竹東,24.73823,121.09472,TRA_1203,0,
TRA_1204,橫山,24.72041,121.11772,TRA_1204,0,
TRA_1205,九讚頭,24.72062,121.13622,TRA_1205,0,
TRA_1206,合興,24.71667,121.15437,TRA_1206,0,
TRA_1207,富貴,24.7155,121.16743,TRA_1207,0,
TRA_1208,內灣,24.70535,121.18255,TRA_1208,0,
TRA_1210,新竹,24.8016,120.97159,TRA_1210,0,
TRA_1220,三姓橋,24.78731,120.92844,TRA_1220,0,
TRA_1230,香山,24.76311,120.91388,TRA_1230,0,
TRA_1240,崎頂,24.72291,120.87183,TRA_1240,0,
TRA_1250,竹南,24.68648,120.88079,TRA_1250,0,
TRA_2110,談文,24.65641,120.85825,TRA_2110,0,
TRA_2120,大山,24.64565,120.80376,TRA_2120,0,
TRA_2130,後龍,24.61621,120.78731,TRA_2130,0,
TRA_2140,龍港,24.61169,120.75812,TRA_2140,0,
TRA_2150,白沙屯,24.56481,120.70824,TRA_2150,0,
TRA_2160,新埔,24.54018,120.69518,TRA_2160,0,
TRA_2170,通霄,24.49141,120.67843,TRA_2170,0,
TRA_2180,苑裡,24.44344,120.65146,TRA_2180,0,
TRA_2190,日南,24.37825,120.6541,TRA_2190,0,
TRA_2200,大甲,24.34448,120.62702,TRA_2200,0,
TRA_2210,臺中港,24.30441,120.60231,TRA_2210,0,
TRA_2220,清水,24.26364,120.56918,TRA_2220,0,
TRA_2230,沙鹿,24.23702,120.55752,TRA_2230,0,
TRA_2240,龍井,24.19748,120.54335,TRA_2240,0,
TRA_2250,大肚,24.15441,120.54255,TRA_2250,0,
TRA_2260,追分,24.12051,120.57018,TRA_2260,0,
TRA_3140,造橋,24.64186,120.86721,TRA_3140,0,
TRA_3150,豐富,24.6043,120.82635,TRA_3150,0,
TRA_3160,苗栗,24.57001,120.82233,TRA_3160,0,
TRA_3170,南勢,24.52246,120.79154,TRA_3170,0,
TRA_3180,銅鑼,24.48656,120.78619,TRA_3180,0,
TRA_3190,三義,24.42066,120.77393,TRA_3190,0,
TRA_3210,泰安,24.33146,120.74181,TRA_3210,0,
TRA_3220,后里,24.30933,120.73288,TRA_3220,0,
TRA_3230,豐原,24.2542,120.7235,TRA_3230,0,
TRA_3240,栗林,24.2346,120.7106,TRA_3240,0,
TRA_3250,潭子,24.21255,120.70584,TRA_3250,0,
TRA_3260,頭家厝,24.19572,120.70398,TRA_3260,0,
TRA_3270,松竹,24.18035,120.70193,TRA_3270,0,
