service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
THB096801_16_0_T_1_54Sh_11111110_063000,1,1,1,1,1,1,1,20240902,20261231
THB096801_16_0_T_2_54Sh_01111100_084000,1,1,1,1,1,0,0,20240902,20261231
THB096801_16_0_T_3_54Sh_10000010_090000,0,0,0,0,0,1,1,20240902,20261231
THB096801_16_0_T_4_54Sh_11111110_132200,1,1,1,1,1,1,1,20240902,20261231
THB096801_16_0_T_5_54Sh_11111110_162200,1,1,1,1,1,1,1,20240902,20261231
THB096801_35_0_T_1_54Sh_11111110_070500,1,1,1,1,1,1,1,20240902,20261231
THB096801_35_0_T_2_54Sh_10000010_100500,0,0,0,0,0,1,1,20240902,20261231
THB096801_35_0_T_3_54Sh_01111100_123500,1,1,1,1,1,0,0,20240902,20261231
THB096801_35_0_T_4_54Sh_10000010_142500,0,0,0,0,0,1,1,20240902,20261231
THB096801_35_0_T_5_54Sh_01111100_152500,1,1,1,1,1,0,0,20240902,20261231
THB096801_35_0_T_6_54Sh_11111110_172500,1,1,1,1,1,1,1,20240902,20261231
THB096802_16_1_T_1_54Sh_01111100_073000,1,1,1,1,1,0,0,20240902,20261231
THB096802_16_1_T_2_54Sh_10000010_074000,0,0,0,0,0,1,1,20240902,20261231
THB096802_16_1_T_3_54Sh_01111100_093000,1,1,1,1,1,0,0,20240902,20261231
THB096802_16_1_T_4_54Sh_10000010_101000,0,0,0,0,0,1,1,20240902,20261231
THB096802_16_1_T_5_54Sh_11111110_144000,1,1,1,1,1,1,1,20240902,20261231
THB096802_16_1_T_6_54Sh_11111110_174000,1,1,1,1,1,1,1,20240902,20261231
THB096802_35_1_T_1_54Sh_10000010_081500,0,0,0,0,0,1,1,20240902,20261231
THB096802_35_1_T_2_54Sh_01111100_083000,1,1,1,1,1,0,0,20240902,20261231
THB096802_35_1_T_3_54Sh_01111100_100000,1,1,1,1,1,0,0,20240902,20261231
THB096802_35_1_T_4_54Sh_10000010_111500,0,0,0,0,0,1,1,20240902,20261231
THB096802_35_1_T_5_54Sh_11111110_153500,1,1,1,1,1,1,1,20240902,20261231
THB096802_35_1_T_6_54Sh_11111110_183500,1,1,1,1,1,1,1,20240902,20261231
THB0968A1_16_0_T_1_54Sh_01111100_131500,1,1,1,1,1,0,0,20240902,20261231
THB0968A1_16_0_T_2_54Sh_01111100_161500,1,1,1,1,1,0,0,20240902,20261231
THB0968A1_35_0_T_1_54Sh_01111100_122500,1,1,1,1,1,0,0,20240902,20261231
THB0968A1_35_0_T_2_54Sh_01111100_171500,1,1,1,1,1,0,0,20240902,20261231
THB0968A2_16_1_T_1_54Sh_01111100_073000,1,1,1,1,1,0,0,20240902,20261231
THB0968A2_16_1_T_2_54Sh_01111100_093000,1,1,1,1,1,0,0,20240902,20261231
THB0968A2_35_1_T_1_54Sh_01111100_083000,1,1,1,1,1,0,0,20240902,20261231
THB0968A2_35_1_T_2_54Sh_01111100_153500,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_1_54Sh_01111100_060000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_10_54Sh_01111100_154000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_11_54Sh_01111100_165000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_12_54Sh_01111100_180000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_2_54Sh_01111100_064500,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_3_54Sh_01111100_073000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_4_54Sh_01111100_092000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_5_54Sh_01111100_100000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_6_54Sh_01111100_110000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_7_54Sh_01111100_130000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_8_54Sh_01111100_140000,1,1,1,1,1,0,0,20240902,20261231
THB103101_43_0_T_9_54Sh_01111100_150000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_1_54Sh_01111100_073000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_10_54Sh_01111100_171000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_11_54Sh_01111100_182000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_12_54Sh_01111100_193000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_2_54Sh_01111100_081500,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_3_54Sh_01111100_090000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_4_54Sh_01111100_104000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_5_54Sh_01111100_112000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_6_54Sh_01111100_122000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_7_54Sh_01111100_142000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_8_54Sh_01111100_152000,1,1,1,1,1,0,0,20240902,20261231
THB103102_43_1_T_9_54Sh_01111100_162000,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_1_54Sh_01111100_061500,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_2_54Sh_01111100_064000,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_3_54Sh_01111100_091000,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_4_54Sh_01111100_134000,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_5_54Sh_01111100_160000,1,1,1,1,1,0,0,20240902,20261231
THB103201_43_0_T_6_54Sh_01111100_165000,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_1_54Sh_01111100_074500,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_2_54Sh_01111100_081500,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_3_54Sh_01111100_103000,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_4_54Sh_01111100_151000,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_5_54Sh_01111100_173000,1,1,1,1,1,0,0,20240902,20261231
THB103202_43_1_T_6_54Sh_01111100_182000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_1_54Sh_01111100_063000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_10_54Sh_01111100_162500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_11_54Sh_01111100_164000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_12_54Sh_10000010_171000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_13_54Sh_01111100_172500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_14_54Sh_10000010_174000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_15_54Sh_01111100_174000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_16_54Sh_10000010_181000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_17_54Sh_01111100_182500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_18_54Sh_10000010_184000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_19_54Sh_01111100_192500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_2_54Sh_01111100_065000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_20_54Sh_10000010_193000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_21_54Sh_10000010_195000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_22_54Sh_01111100_200000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_23_54Sh_10000010_201000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_24_54Sh_01111100_201500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_25_54Sh_01111100_204500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_26_54Sh_01111100_210000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_27_54Sh_10000010_211000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_28_54Sh_01111100_211500,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_29_54Sh_10000010_221000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_3_54Sh_10000010_065000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_30_54Sh_01111100_221000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_31_54Sh_10000010_223500,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_32_54Sh_10000010_230000,0,0,0,0,0,1,1,20240902,20261231
THB106101_43_0_T_33_54Sh_01111100_230000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_4_54Sh_01111100_073000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_5_54Sh_01111100_075000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_6_54Sh_01111100_080000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_7_54Sh_01111100_082000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_8_54Sh_01111100_084000,1,1,1,1,1,0,0,20240902,20261231
THB106101_43_0_T_9_54Sh_01111100_091000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_1_54Sh_01111100_053000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_10_54Sh_01111100_090000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_11_54Sh_10000010_090500,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_12_54Sh_01111100_091200,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_13_54Sh_10000010_092000,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_14_54Sh_01111100_092400,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_15_54Sh_01111100_093500,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_16_54Sh_10000010_100500,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_17_54Sh_01111100_102500,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_18_54Sh_01111100_192500,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_19_54Sh_01111100_200000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_2_54Sh_01111100_055000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_20_54Sh_01111100_202000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_21_54Sh_01111100_210000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_22_54Sh_10000010_212500,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_23_54Sh_01111100_213000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_24_54Sh_10000010_215000,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_25_54Sh_01111100_220000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_3_54Sh_10000010_055000,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_4_54Sh_01111100_061000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_5_54Sh_10000010_064000,0,0,0,0,0,1,1,20240902,20261231
THB106102_43_1_T_6_54Sh_01111100_064000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_7_54Sh_01111100_075000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_8_54Sh_01111100_080000,1,1,1,1,1,0,0,20240902,20261231
THB106102_43_1_T_9_54Sh_10000010_080000,0,0,0,0,0,1,1,20240902,20261231
THB1061A1_43_0_T_1_54Sh_01111100_181000,1,1,1,1,1,0,0,20240902,20261231
THB1061A1_43_0_T_2_54Sh_01111100_185500,1,1,1,1,1,0,0,20240902,20261231
THB1061A1_43_0_T_3_54Sh_01111100_194000,1,1,1,1,1,0,0,20240902,20261231
THB1061A1_43_0_T_4_54Sh_01111100_203000,1,1,1,1,1,0,0,20240902,20261231
THB1061A1_43_0_T_5_54Sh_01111100_213000,1,1,1,1,1,0,0,20240902,20261231
THB1061A1_43_0_T_6_54Sh_01111100_223000,1,1,1,1,1,0,0,20240902,20261231
THB1061A2_43_1_T_1_54Sh_11111110_060000,1,1,1,1,1,1,1,20240902,20261231
THB1061A2_43_1_T_2_54Sh_11111110_061500,1,1,1,1,1,1,1,20240902,20261231
THB1061A2_43_1_T_3_54Sh_11111110_063000,1,1,1,1,1,1,1,20240902,20261231
THB1061A2_43_1_T_4_54Sh_11111110_064500,1,1,1,1,1,1,1,20240902,20261231
THB1061A2_43_1_T_5_54Sh_11111110_071000,1,1,1,1,1,1,1,20240902,20261231
THB1061A2_43_1_T_6_54Sh_11111110_072500,1,1,1,1,1,1,1,20240902,20261231
THB106201_43_0_T_1_54Sh_10000010_075000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_10_54Sh_01111100_094000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_11_54Sh_01111100_095000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_12_54Sh_10000010_100000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_13_54Sh_01111100_101000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_14_54Sh_10000010_101500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_15_54Sh_10000010_103000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_16_54Sh_01111100_103000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_17_54Sh_01111100_104000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_18_54Sh_10000010_104500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_19_54Sh_01111100_105000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_2_54Sh_01111100_081000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_20_54Sh_10000010_111500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_21_54Sh_01111100_112000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_22_54Sh_10000010_113000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_23_54Sh_01111100_113500,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_24_54Sh_10000010_121000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_25_54Sh_01111100_121000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_26_54Sh_01111100_124000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_27_54Sh_10000010_124000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_28_54Sh_01111100_131000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_29_54Sh_10000010_131000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_3_54Sh_01111100_083000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_30_54Sh_01111100_134000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_31_54Sh_01111100_141000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_32_54Sh_10000010_141000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_33_54Sh_10000010_144000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_34_54Sh_01111100_144000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_35_54Sh_10000010_151000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_36_54Sh_01111100_151000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_37_54Sh_10000010_153000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_38_54Sh_01111100_154000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_39_54Sh_10000010_155000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_4_54Sh_10000010_083000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_40_54Sh_01111100_155500,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_41_54Sh_10000110_161000,0,0,0,0,1,1,1,20240902,20261231
THB106201_43_0_T_42_54Sh_01111100_161000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_43_54Sh_10000010_162500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_44_54Sh_10000010_164000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_45_54Sh_01111100_171000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_46_54Sh_10000010_172500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_47_54Sh_01111100_175500,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_48_54Sh_10000010_183000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_49_54Sh_01111100_184000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_5_54Sh_01111100_085000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_50_54Sh_10000010_185500,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_51_54Sh_10000010_191000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_6_54Sh_01111100_090000,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_7_54Sh_10000010_091000,0,0,0,0,0,1,1,20240902,20261231
THB106201_43_0_T_8_54Sh_01111100_092500,1,1,1,1,1,0,0,20240902,20261231
THB106201_43_0_T_9_54Sh_10000010_093000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_1_54Sh_01111100_063500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_10_54Sh_10000010_103500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_11_54Sh_01111100_103500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_12_54Sh_10000010_110500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_13_54Sh_01111100_110500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_14_54Sh_10000010_113500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_15_54Sh_01111100_113500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_16_54Sh_01111100_120500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_17_54Sh_10000010_123500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_18_54Sh_01111100_123500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_19_54Sh_01111100_130500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_2_54Sh_10000010_070000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_20_54Sh_10000010_130500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_21_54Sh_10000010_133500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_22_54Sh_01111100_133500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_23_54Sh_10000010_135500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_24_54Sh_01111100_140500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_25_54Sh_10000010_140500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_26_54Sh_01111100_142000,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_27_54Sh_01111100_143500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_28_54Sh_10000010_143500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_29_54Sh_10000010_145000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_3_54Sh_01111100_070500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_30_54Sh_10000010_150500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_31_54Sh_10000010_153500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_32_54Sh_10000010_155000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_33_54Sh_01111100_155000,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_34_54Sh_01111100_160500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_35_54Sh_10000010_160500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_36_54Sh_01111100_162000,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_37_54Sh_10000010_163500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_38_54Sh_01111100_163500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_39_54Sh_01111100_165000,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_4_54Sh_10000010_080000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_40_54Sh_10000010_165500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_41_54Sh_01111100_170500,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_42_54Sh_10000010_170500,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_43_54Sh_10000010_172000,0,0,0,0,0,1,1,20240902,20261231
THB106202_43_1_T_44_54Sh_01111100_172000,1,1,1,1,1,0,0,20240902,20261231
THB106202_43_1_T_45_54Sh_10000010_173500,0,0,0,0,0,1,1,20240902,20261231
