route_id,service_id,trip_id,shape_id,direction_id,bikes_allowed,trip_headsign,trip_short_name,block_id,wheelchair_accessible
Blue,403,403_1007_DN,,,,亞東醫院站,,,1
Blue,403,403_1019_DN,,,,頂埔站,,,1
Blue,403,403_1016_UP,,,,南港展覽館站,,,1
Blue,403,403_1030_UP,,,,南港展覽館站,,,1
Blue,403,403_1014_UP,,,,南港展覽館站,,,1
Blue,403,403_1046_UP,,,,南港展覽館站,,,1
Blue,403,403_1067_DN,,,,頂埔站,,,1
Blue,403,403_1079_DN,,,,亞東醫院站,,,1
Blue,403,403_1121_DN,,,,亞東醫院站,,,1
Blue,403,403_1136_UP,,,,南港展覽館站,,,1
Blue,403,403_1144_UP,,,,南港展覽館站,,,1
Blue,403,403_1186_UP,,,,南港展覽館站,,,1
Blue,403,403_1189_DN,,,,亞東醫院站,,,1
Blue,403,403_1206_UP,,,,南港展覽館站,,,1
Blue,403,403_1242_UP,,,,南港展覽館站,,,1
Blue,403,403_1249_DN,,,,頂埔站,,,1
Blue,403,403_1284_UP,,,,南港展覽館站,,,1
Blue,403,403_1298_UP,,,,南港展覽館站,,,1
Blue,403,403_1382_UP,,,,南港展覽館站,,,1
Blue,403,403_1401_DN,,,,亞東醫院站,,,1
Blue,403,403_1427_DN,,,,亞東醫院站,,,1
Blue,403,403_1430_UP,,,,南港展覽館站,,,1
Blue,403,403_1472_UP,,,,南港展覽館站,,,1
Blue,403,403_2022_UP,,,,南港展覽館站,,,1
Blue,403,403_2035_DN,,,,頂埔站,,,1
Blue,403,403_2047_DN,,,,亞東醫院站,,,1
Blue,403,403_2079_DN,,,,頂埔站,,,1
Blue,403,403_1002_UP,,,,南港展覽館站,,,1
Blue,403,403_1008_UP,,,,南港展覽館站,,,1
Blue,403,403_1018_UP,,,,南港展覽館站,,,1
Blue,403,403_1021_DN,,,,頂埔站,,,1
Blue,403,403_1023_DN,,,,頂埔站,,,1
Blue,403,403_1038_UP,,,,南港展覽館站,,,1
Blue,403,403_1041_DN,,,,亞東醫院站,,,1
Blue,403,403_1061_DN,,,,亞東醫院站,,,1
Blue,403,403_1065_DN,,,,頂埔站,,,1
Blue,403,403_1070_UP,,,,南港展覽館站,,,1
Blue,403,403_1114_UP,,,,南港展覽館站,,,1
Blue,403,403_1147_DN,,,,頂埔站,,,1
Blue,403,403_1172_UP,,,,南港展覽館站,,,1
Blue,403,403_1005_DN,,,,亞東醫院站,,,1
Blue,403,403_1094_UP,,,,南港展覽館站,,,1
Blue,403,403_1117_DN,,,,亞東醫院站,,,1
Blue,403,403_1118_UP,,,,南港展覽館站,,,1
Blue,403,403_1122_UP,,,,南港展覽館站,,,1
Blue,403,403_1213_DN,,,,頂埔站,,,1
Blue,403,403_1216_UP,,,,南港展覽館站,,,1
Blue,403,403_1011_DN,,,,亞東醫院站,,,1
Blue,403,403_1026_UP,,,,南港展覽館站,,,1
Blue,403,403_1058_UP,,,,南港展覽館站,,,1
Blue,403,403_1078_UP,,,,南港展覽館站,,,1
Blue,403,403_1101_DN,,,,頂埔站,,,1
Blue,403,403_1125_DN,,,,亞東醫院站,,,1
Blue,403,403_1139_DN,,,,亞東醫院站,,,1
Blue,403,403_1187_DN,,,,頂埔站,,,1
Blue,403,403_1219_DN,,,,亞東醫院站,,,1
Blue,403,403_1234_UP,,,,南港展覽館站,,,1
Blue,403,403_1235_DN,,,,頂埔站,,,1
Blue,403,403_1245_DN,,,,亞東醫院站,,,1
Blue,403,403_1286_UP,,,,南港展覽館站,,,1
Blue,403,403_1309_DN,,,,頂埔站,,,1
Blue,403,403_1323_DN,,,,頂埔站,,,1
Blue,403,403_1329_DN,,,,頂埔站,,,1
Blue,403,403_1332_UP,,,,南港展覽館站,,,1
Blue,403,403_1337_DN,,,,頂埔站,,,1
Blue,403,403_1352_UP,,,,南港展覽館站,,,1
Blue,403,403_1361_DN,,,,頂埔站,,,1
Blue,403,403_1375_DN,,,,頂埔站,,,1
Blue,403,403_1391_DN,,,,亞東醫院站,,,1
Blue,403,403_1396_UP,,,,南港展覽館站,,,1
Blue,403,403_1411_DN,,,,頂埔站,,,1
Blue,403,403_1424_UP,,,,南港展覽館站,,,1
Blue,403,403_1444_UP,,,,南港展覽館站,,,1
Blue,403,403_1445_DN,,,,頂埔站,,,1
Blue,403,403_1462_UP,,,,南港展覽館站,,,1
Blue,403,403_1473_DN,,,,亞東醫院站,,,1
Blue,403,403_1481_DN,,,,頂埔站,,,1
Blue,403,403_2009_DN,,,,頂埔站,,,1
Blue,403,403_2069_DN,,,,頂埔站,,,1
Blue,403,403_2070_UP,,,,南港展覽館站,,,1
Blue,403,403_2082_UP,,,,南港展覽館站,,,1
Blue,403,403_2096_UP,,,,南港展覽館站,,,1
Blue,403,403_2129_DN,,,,亞東醫院站,,,1
Blue,403,403_2144_UP,,,,昆陽站,,,1
Blue,403,403_1042_UP,,,,昆陽站,,,1
Blue,403,403_1045_DN,,,,頂埔站,,,1
Blue,403,403_1047_DN,,,,亞東醫院站,,,1
Blue,403,403_1073_DN,,,,亞東醫院站,,,1
Blue,403,403_1074_UP,,,,南港展覽館站,,,1
Blue,403,403_1089_DN,,,,亞東醫院站,,,1
Blue,403,403_1092_UP,,,,南港展覽館站,,,1
Blue,403,403_1099_DN,,,,頂埔站,,,1
Blue,403,403_1211_DN,,,,頂埔站,,,1
Blue,403,403_1239_DN,,,,頂埔站,,,1
Blue,403,403_1292_UP,,,,南港展覽館站,,,1
Blue,403,403_1334_UP,,,,南港展覽館站,,,1
Blue,403,403_1343_DN,,,,頂埔站,,,1
Blue,403,403_1369_DN,,,,亞東醫院站,,,1
Blue,403,403_1394_UP,,,,南港展覽館站,,,1
Blue,403,403_1418_UP,,,,南港展覽館站,,,1
Blue,403,403_1419_DN,,,,頂埔站,,,1
Blue,403,403_1446_UP,,,,南港展覽館站,,,1
Blue,403,403_1468_UP,,,,南港展覽館站,,,1
Blue,403,403_2002_UP,,,,南港展覽館站,,,1
Blue,403,403_2021_DN,,,,頂埔站,,,1
Blue,403,403_2029_DN,,,,亞東醫院站,,,1
Blue,403,403_2048_UP,,,,南港展覽館站,,,1
Blue,403,403_2059_DN,,,,亞東醫院站,,,1
Blue,403,403_2080_UP,,,,南港展覽館站,,,1
Blue,403,403_2092_UP,,,,南港展覽館站,,,1
Blue,403,403_2100_UP,,,,南港展覽館站,,,1
Blue,403,403_2108_UP,,,,南港展覽館站,,,1
Blue,403,403_2086_UP,,,,南港展覽館站,,,1
Blue,403,403_2134_UP,,,,昆陽站,,,1
Blue,403,403_1020_UP,,,,南港展覽館站,,,1
Blue,403,403_1039_DN,,,,亞東醫院站,,,1
Blue,403,403_1040_UP,,,,南港展覽館站,,,1
Blue,403,403_1048_UP,,,,南港展覽館站,,,1
Blue,403,403_1053_DN,,,,亞東醫院站,,,1
Blue,403,403_1055_DN,,,,亞東醫院站,,,1
Blue,403,403_1056_UP,,,,南港展覽館站,,,1
Blue,403,403_1059_DN,,,,亞東醫院站,,,1
Blue,403,403_1068_UP,,,,南港展覽館站,,,1
Blue,403,403_1069_DN,,,,亞東醫院站,,,1
Blue,403,403_1093_DN,,,,亞東醫院站,,,1
Blue,403,403_1097_DN,,,,亞東醫院站,,,1
Blue,403,403_1119_DN,,,,亞東醫院站,,,1
Blue,403,403_1134_UP,,,,南港展覽館站,,,1
Blue,403,403_1160_UP,,,,南港展覽館站,,,1
Blue,403,403_1164_UP,,,,南港展覽館站,,,1
Blue,403,403_1167_DN,,,,亞東醫院站,,,1
Blue,403,403_1169_DN,,,,亞東醫院站,,,1
Blue,403,403_1215_DN,,,,頂埔站,,,1
Blue,403,403_1221_DN,,,,亞東醫院站,,,1
Blue,403,403_1274_UP,,,,南港展覽館站,,,1
Blue,403,403_1275_DN,,,,頂埔站,,,1
Blue,403,403_1276_UP,,,,南港展覽館站,,,1
Blue,403,403_1311_DN,,,,頂埔站,,,1
Blue,403,403_1317_DN,,,,亞東醫院站,,,1
Blue,403,403_1380_UP,,,,南港展覽館站,,,1
Blue,403,403_1398_UP,,,,南港展覽館站,,,1
Blue,403,403_1410_UP,,,,南港展覽館站,,,1
Blue,403,403_1425_DN,,,,頂埔站,,,1
Blue,403,403_1436_UP,,,,南港展覽館站,,,1
Blue,403,403_1437_DN,,,,頂埔站,,,1
Blue,403,403_1449_DN,,,,亞東醫院站,,,1
Blue,403,403_1453_DN,,,,頂埔站,,,1
Blue,403,403_1455_DN,,,,亞東醫院站,,,1
Blue,403,403_1461_DN,,,,頂埔站,,,1
Blue,403,403_1469_DN,,,,亞東醫院站,,,1
Blue,403,403_2013_DN,,,,頂埔站,,,1
Blue,403,403_2036_UP,,,,南港展覽館站,,,1
Blue,403,403_2043_DN,,,,頂埔站,,,1
Blue,403,403_2065_DN,,,,頂埔站,,,1
Blue,403,403_2068_UP,,,,南港展覽館站,,,1
Blue,403,403_2136_UP,,,,昆陽站,,,1
Blue,403,403_1052_UP,,,,南港展覽館站,,,1
Blue,403,403_1060_UP,,,,南港展覽館站,,,1
Blue,403,403_1091_DN,,,,亞東醫院站,,,1
Blue,403,403_1108_UP,,,,南港展覽館站,,,1
Blue,403,403_1126_UP,,,,南港展覽館站,,,1
Blue,403,403_1149_DN,,,,頂埔站,,,1
Blue,403,403_1151_DN,,,,頂埔站,,,1
Blue,403,403_1175_DN,,,,頂埔站,,,1
Blue,403,403_1185_DN,,,,亞東醫院站,,,1
Blue,403,403_1191_DN,,,,亞東醫院站,,,1
Blue,403,403_1255_DN,,,,頂埔站,,,1
Blue,403,403_1261_DN,,,,亞東醫院站,,,1
Blue,403,403_1295_DN,,,,頂埔站,,,1
Blue,403,403_1307_DN,,,,頂埔站,,,1
Blue,403,403_1315_DN,,,,頂埔站,,,1
Blue,403,403_1316_UP,,,,南港展覽館站,,,1
Blue,403,403_1341_DN,,,,頂埔站,,,1
Blue,403,403_1344_UP,,,,南港展覽館站,,,1
Blue,403,403_1360_UP,,,,南港展覽館站,,,1
Blue,403,403_1371_DN,,,,頂埔站,,,1
Blue,403,403_1385_DN,,,,頂埔站,,,1
Blue,403,403_1475_DN,,,,亞東醫院站,,,1
