stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
076,BL01,頂埔,板南線,24.96012,121.4205,,,1,,Asia/Taipei,1,,292459.205,2761426.146
BL01_UP,BL01,頂埔-上行月臺(板南線),板南線,24.96012,121.4205,,,0,076,Asia/Taipei,1,一,292459.205,2761426.146
BL01_DN,BL01,頂埔-下行月臺(板南線),板南線,24.96012,121.4205,,,0,076,Asia/Taipei,1,二,292459.205,2761426.146
BL01_Exit 1,BL01,1,板南線,24.959306,121.418218,,,2,076,Asia/Taipei,1,,292229.06,2761335.273
BL01_Exit 2,BL01,2,板南線,24.95931,121.419,,,2,076,Asia/Taipei,0,,292308.021,2761335.959
BL01_Exit 3,BL01,3,板南線,24.95962,121.4196,,,2,076,Asia/Taipei,1,,292368.5,2761370.483
BL01_Exit 4,BL01,4,板南線,24.96039,121.4201,,,2,076,Asia/Taipei,1,,292418.723,2761455.927
077,BL02,永寧,板南線,24.96682,121.43613,,,1,,Asia/Taipei,1,,294035.051,2762173.239
BL02_UP,BL02,永寧-上行月臺(板南線),板南線,24.96682,121.43613,,,0,077,Asia/Taipei,1,一,294035.051,2762173.239
BL02_DN,BL02,永寧-下行月臺(板南線),板南線,24.96682,121.43613,,,0,077,Asia/Taipei,1,二,294035.051,2762173.239
BL02_Exit 1,BL02,1,板南線,24.966714,121.435254,,,2,077,Asia/Taipei,1,,293946.64,2762161.214
BL02_Exit 2,BL02,2,板南線,24.966102,121.43568,,,2,077,Asia/Taipei,1,,293989.87,2762093.565
BL02_Exit 3,BL02,3,板南線,24.966947,121.436799,,,2,077,Asia/Taipei,0,,294102.554,2762187.523
BL02_Exit 4,BL02,4,板南線,24.967191,121.436412,,,2,077,Asia/Taipei,0,,294063.392,2762214.424
078,BL03,土城,板南線,24.97313,121.44432,,,1,,Asia/Taipei,1,,294859.699,2762874.839
BL03_UP,BL03,土城-上行月臺(板南線),板南線,24.97313,121.44432,,,0,078,Asia/Taipei,1,一,294859.699,2762874.839
BL03_DN,BL03,土城-下行月臺(板南線),板南線,24.97313,121.44432,,,0,078,Asia/Taipei,1,二,294859.699,2762874.839
BL03_Exit 1,BL03,1,板南線,24.973251,121.444173,,,2,078,Asia/Taipei,1,,294844.814,2762888.192
BL03_Exit 2,BL03,2,板南線,24.972663,121.443671,,,2,078,Asia/Taipei,0,,294794.343,2762822.898
BL03_Exit 3,BL03,3,板南線,24.973714,121.445266,,,2,078,Asia/Taipei,0,,294954.999,2762939.838
079,BL04,海山,板南線,24.985305,121.44873,,,1,,Asia/Taipei,1,,295300.49,2764224.852
BL04_UP,BL04,海山-上行月臺(板南線),板南線,24.985305,121.44873,,,0,079,Asia/Taipei,1,一,295300.49,2764224.852
BL04_DN,BL04,海山-下行月臺(板南線,板南線,24.985305,121.44873,,,0,079,Asia/Taipei,1,二,295300.49,2764224.852
BL04_Exit 1,BL04,1,板南線,24.985375,121.448615,,,2,079,Asia/Taipei,0,,295288.854,2764232.567
BL04_Exit 2,BL04,2,板南線,24.985329,121.448956,,,2,079,Asia/Taipei,1,,295323.297,2764227.586
BL04_Exit 3,BL04,3,板南線,24.98609,121.449127,,,2,079,Asia/Taipei,0,,295340.281,2764311.934
080,BL05,亞東醫院,板南線,24.99828,121.452465,,,1,,Asia/Taipei,1,,295672.758,2765663.266
BL05_UP,BL05,亞東醫院-上行月臺(板南線),板南線,24.99828,121.452465,,,0,080,Asia/Taipei,1,一,295672.758,2765663.266
BL05_DN,BL05,亞東醫院-下行月臺(板南線),板南線,24.99828,121.452465,,,0,080,Asia/Taipei,1,二,295672.758,2765663.266
BL05_Exit 1,BL05,1,板南線,24.998933,121.452581,,,2,080,Asia/Taipei,0,,295684.226,2765735.634
BL05_Exit 2,BL05,2,板南線,24.998252,121.452388,,,2,080,Asia/Taipei,0,,295664.996,2765660.139
BL05_Exit 3,BL05,3,板南線,24.998875,121.45287,,,2,080,Asia/Taipei,1,,295713.42,2765729.307
081,BL06,府中,板南線,25.008465,121.459276,,,1,,Asia/Taipei,1,,296356.462,2766793.711
BL06_UP,BL06,府中-上行月臺(板南線),板南線,25.008465,121.459276,,,0,081,Asia/Taipei,1,一,296356.462,2766793.711
BL06_DN,BL06,府中-下行月臺(板南線),板南線,25.008465,121.459276,,,0,081,Asia/Taipei,1,二,296356.462,2766793.711
BL06_Exit 1,BL06,1,板南線,25.008486,121.459077,,,2,081,Asia/Taipei,1,,296336.368,2766795.969
BL06_Exit 2,BL06,2,板南線,25.008943,121.459501,,,2,081,Asia/Taipei,0,,296378.993,2766846.733
