stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
076,BL01,頂埔,板南線,24.96012,121.4205,,,1,,Asia/Taipei,1,
BL01_UP,BL01,頂埔-上行月臺(板南線),板南線,24.96012,121.4205,,,0,076,Asia/Taipei,1,一
BL01_DN,BL01,頂埔-下行月臺(板南線),板南線,24.96012,121.4205,,,0,076,Asia/Taipei,1,二
BL01_Exit 1,BL01,1,板南線,24.959306,121.418218,,,2,076,Asia/Taipei,1,
BL01_Exit 2,BL01,2,板南線,24.95931,121.419,,,2,076,Asia/Taipei,0,
BL01_Exit 3,BL01,3,板南線,24.95962,121.4196,,,2,076,Asia/Taipei,1,
BL01_Exit 4,BL01,4,板南線,24.96039,121.4201,,,2,076,Asia/Taipei,1,
077,BL02,永寧,板南線,24.96682,121.43613,,,1,,Asia/Taipei,1,
BL02_UP,BL02,永寧-上行月臺(板南線),板南線,24.96682,121.43613,,,0,077,Asia/Taipei,1,一
BL02_DN,BL02,永寧-下行月臺(板南線),板南線,24.96682,121.43613,,,0,077,Asia/Taipei,1,二
BL02_Exit 1,BL02,1,板南線,24.966714,121.435254,,,2,077,Asia/Taipei,1,
BL02_Exit 2,BL02,2,板南線,24.966102,121.43568,,,2,077,Asia/Taipei,1,
BL02_Exit 3,BL02,3,板南線,24.966947,121.436799,,,2,077,Asia/Taipei,0,
BL02_Exit 4,BL02,4,板南線,24.967191,121.436412,,,2,077,Asia/Taipei,0,
078,BL03,土城,板南線,24.97313,121.44432,,,1,,Asia/Taipei,1,
BL03_UP,BL03,土城-上行月臺(板南線),板南線,24.97313,121.44432,,,0,078,Asia/Taipei,1,一
BL03_DN,BL03,土城-下行月臺(板南線),板南線,24.97313,121.44432,,,0,078,Asia/Taipei,1,二
BL03_Exit 1,BL03,1,板南線,24.973251,121.444173,,,2,078,Asia/Taipei,1,
BL03_Exit 2,BL03,2,板南線,24.972663,121.443671,,,2,078,Asia/Taipei,0,
BL03_Exit 3,BL03,3,板南線,24.973714,121.445266,,,2,078,Asia/Taipei,0,
079,BL04,海山,板南線,24.985305,121.44873,,,1,,Asia/Taipei,1,
BL04_UP,BL04,海山-上行月臺(板南線),板南線,24.985305,121.44873,,,0,079,Asia/Taipei,1,一
BL04_DN,BL04,海山-下行月臺(板南線,板南線,24.985305,121.44873,,,0,079,Asia/Taipei,1,二
BL04_Exit 1,BL04,1,板南線,24.985375,121.448615,,,2,079,Asia/Taipei,0,
BL04_Exit 2,BL04,2,板南線,24.985329,121.448956,,,2,079,Asia/Taipei,1,
BL04_Exit 3,BL04,3,板南線,24.98609,121.449127,,,2,079,Asia/Taipei,0,
080,BL05,亞東醫院,板南線,24.99828,121.452465,,,1,,Asia/Taipei,1,
BL05_UP,BL05,亞東醫院-上行月臺(板南線),板南線,24.99828,121.452465,,,0,080,Asia/Taipei,1,一
BL05_DN,BL05,亞東醫院-下行月臺(板南線),板南線,24.99828,121.452465,,,0,080,Asia/Taipei,1,二
BL05_Exit 1,BL05,1,板南線,24.998933,121.452581,,,2,080,Asia/Taipei,0,
BL05_Exit 2,BL05,2,板南線,24.998252,121.452388,,,2,080,Asia/Taipei,0,
