parent stop id;nr of child stop facilities
gtfs_tw_v5_AFR_360;1
gtfs_tw_v5_AFR_361;1
gtfs_tw_v5_AFR_363;1
gtfs_tw_v5_AFR_365;1
gtfs_tw_v5_AFR_366;1
gtfs_tw_v5_AFR_367;1
gtfs_tw_v5_AFR_368;1
gtfs_tw_v5_AFR_369;1
gtfs_tw_v5_AFR_370;1
gtfs_tw_v5_AFR_371;1
gtfs_tw_v5_AFR_372;1
gtfs_tw_v5_AFR_376;1
gtfs_tw_v5_AFR_377;1
gtfs_tw_v5_AFR_378;1
gtfs_tw_v5_AFR_379;1
gtfs_tw_v5_AFR_381;1
gtfs_tw_v5_AirLine_CMJ;1
gtfs_tw_v5_AirLine_CYI;1
gtfs_tw_v5_AirLine_GNI;1
gtfs_tw_v5_AirLine_HUN;1
gtfs_tw_v5_AirLine_KHH;1
gtfs_tw_v5_AirLine_KNH;1
gtfs_tw_v5_AirLine_KYD;1
gtfs_tw_v5_AirLine_LZN;1
gtfs_tw_v5_AirLine_MFK;1
gtfs_tw_v5_AirLine_MZG;1
gtfs_tw_v5_AirLine_RMQ;1
gtfs_tw_v5_AirLine_TNN;1
gtfs_tw_v5_AirLine_TTT;1
gtfs_tw_v5_AirLine_WOT;1
gtfs_tw_v5_CHA237157;1
gtfs_tw_v5_CHA248055;1
gtfs_tw_v5_CHA248342;1
gtfs_tw_v5_CHA248365;1
gtfs_tw_v5_CHA248456;1
gtfs_tw_v5_CHA248473;1
gtfs_tw_v5_CHA248496;1
gtfs_tw_v5_CHA248579;1
gtfs_tw_v5_CHA248587;1
gtfs_tw_v5_CHA248727;1
gtfs_tw_v5_CHA248774;1
gtfs_tw_v5_CHA248784;1
gtfs_tw_v5_CHA248799;1
gtfs_tw_v5_CHA248874;1
gtfs_tw_v5_CHA248973;1
gtfs_tw_v5_CHA249001;1
gtfs_tw_v5_CHA249051;1
gtfs_tw_v5_CHA249057;1
gtfs_tw_v5_CHA249404;1
gtfs_tw_v5_CHA249784;1
gtfs_tw_v5_CHA249902;1
gtfs_tw_v5_CHA249928;1
gtfs_tw_v5_CHA249942;1
gtfs_tw_v5_CHA249965;1
gtfs_tw_v5_CHA250035;1
gtfs_tw_v5_CHA250087;1
gtfs_tw_v5_CHA250099;1
gtfs_tw_v5_CHA250256;1
gtfs_tw_v5_CHA250389;1
gtfs_tw_v5_CHA250399;1
gtfs_tw_v5_CHA250441;1
gtfs_tw_v5_CHA250506;1
gtfs_tw_v5_CHA250681;1
gtfs_tw_v5_CHA250738;1
gtfs_tw_v5_CHA250748;1
gtfs_tw_v5_CHA250781;1
gtfs_tw_v5_CHA250782;1
gtfs_tw_v5_CHA250826;1
gtfs_tw_v5_CHA250840;1
gtfs_tw_v5_CHA251009;1
gtfs_tw_v5_CHA251071;1
gtfs_tw_v5_CHA251088;1
gtfs_tw_v5_CHA251106;1
gtfs_tw_v5_CHA251141;1
gtfs_tw_v5_CHA251207;1
gtfs_tw_v5_CHA251232;1
gtfs_tw_v5_CHA251327;1
gtfs_tw_v5_CHA251355;1
gtfs_tw_v5_CHA251424;1
gtfs_tw_v5_CHA251439;1
gtfs_tw_v5_CHA251442;1
gtfs_tw_v5_CHA252556;1
gtfs_tw_v5_CHA252893;1
gtfs_tw_v5_CHA252894;1
gtfs_tw_v5_CHA253124;1
gtfs_tw_v5_CHA253413;1
gtfs_tw_v5_CHA253434;1
gtfs_tw_v5_CHA253929;1
gtfs_tw_v5_CHA254042;1
gtfs_tw_v5_CHA255341;1
gtfs_tw_v5_CHA255545;1
gtfs_tw_v5_CHA256049;1
gtfs_tw_v5_CHA256992;1
gtfs_tw_v5_CHA257442;1
gtfs_tw_v5_CHA258797;1
gtfs_tw_v5_CHA258900;1
gtfs_tw_v5_CHA259127;1
gtfs_tw_v5_CHA260082;1
gtfs_tw_v5_CHA261020;1
gtfs_tw_v5_CHA261160;1
gtfs_tw_v5_CHA261284;1
gtfs_tw_v5_CHA261979;1
gtfs_tw_v5_CHA279028;1
gtfs_tw_v5_CHA279031;1
gtfs_tw_v5_CHA290197;1
gtfs_tw_v5_CHA293415;1
gtfs_tw_v5_CHA293897;1
gtfs_tw_v5_CHA293898;1
gtfs_tw_v5_CHA297368;1
gtfs_tw_v5_CHA297369;1
gtfs_tw_v5_CHA297370;1
gtfs_tw_v5_CHA297372;1
gtfs_tw_v5_CHA297374;1
gtfs_tw_v5_CHA297375;1
gtfs_tw_v5_CHA297376;1
gtfs_tw_v5_CHA297378;1
gtfs_tw_v5_CHA297379;1
gtfs_tw_v5_CHA297382;1
gtfs_tw_v5_CHA297384;1
gtfs_tw_v5_CHA297385;1
gtfs_tw_v5_CHA297387;1
gtfs_tw_v5_CHA297391;1
gtfs_tw_v5_CHA297392;1
gtfs_tw_v5_CHA297393;1
gtfs_tw_v5_CHA297395;1
gtfs_tw_v5_CHA297396;1
gtfs_tw_v5_CHA297398;1
gtfs_tw_v5_CHA297399;1
gtfs_tw_v5_CHA297400;1
gtfs_tw_v5_CHA297401;1
gtfs_tw_v5_CHA297402;1
gtfs_tw_v5_CHA297404;1
gtfs_tw_v5_CHA297405;1
gtfs_tw_v5_CHA297407;1
gtfs_tw_v5_CHA297408;1
gtfs_tw_v5_CHA297410;1
gtfs_tw_v5_CHA297411;1
gtfs_tw_v5_CHA297412;1
gtfs_tw_v5_CHA297413;1
gtfs_tw_v5_CHA297415;1
gtfs_tw_v5_CHA297416;1
gtfs_tw_v5_CHA297417;1
gtfs_tw_v5_CHA297418;1
gtfs_tw_v5_CHA297419;1
gtfs_tw_v5_CHA297421;1
gtfs_tw_v5_CHA297424;1
gtfs_tw_v5_CHA297425;1
gtfs_tw_v5_CHA297427;1
gtfs_tw_v5_CHA297429;1
gtfs_tw_v5_CHA297430;1
gtfs_tw_v5_CHA297431;1
gtfs_tw_v5_CHA297434;1
gtfs_tw_v5_CHA297436;1
gtfs_tw_v5_CHA297439;1
gtfs_tw_v5_CHA297441;1
gtfs_tw_v5_CHA297442;1
gtfs_tw_v5_CHA297443;1
gtfs_tw_v5_CHA297444;1
gtfs_tw_v5_CHA297445;1
gtfs_tw_v5_CHA297446;1
gtfs_tw_v5_CHA297448;1
gtfs_tw_v5_CHA297449;1
