vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
0,unknown,28856,64587,8:00:56,17:56:27,1
14,unknown,29696,65427,8:14:56,18:10:27,1
19,unknown,29996,65727,8:19:56,18:15:27,1
2,unknown,28976,28976,8:02:56,8:02:56,1
22,unknown,30176,65907,8:22:56,18:18:27,1
24,unknown,30296,66027,8:24:56,18:20:27,1
25,unknown,30356,66087,8:25:56,18:21:27,1
28,unknown,30536,66267,8:28:56,18:24:27,1
29,unknown,30596,66327,8:29:56,18:25:27,1
3,unknown,29036,29036,8:03:56,8:03:56,1
30,unknown,30656,66387,8:30:56,18:26:27,1
32,unknown,30776,66507,8:32:56,18:28:27,1
34,unknown,30896,66627,8:34:56,18:30:27,1
35,unknown,30956,30956,8:35:56,8:35:56,1
36,unknown,31016,66747,8:36:56,18:32:27,1
44,unknown,31496,67227,8:44:56,18:40:27,1
45,unknown,31556,67287,8:45:56,18:41:27,1
47,unknown,31676,67407,8:47:56,18:43:27,1
51,unknown,31916,67647,8:51:56,18:47:27,1
53,unknown,32036,67767,8:53:56,18:49:27,1
54,unknown,32096,67827,8:54:56,18:50:27,1
56,unknown,32216,67947,8:56:56,18:52:27,1
57,unknown,32276,68007,8:57:56,18:53:27,1
59,unknown,32396,68127,8:59:56,18:55:27,1
60,unknown,32456,68187,9:00:56,18:56:27,1
64,unknown,32696,68427,9:04:56,19:00:27,1
66,unknown,32816,68547,9:06:56,19:02:27,1
67,unknown,32876,68607,9:07:56,19:03:27,1
69,unknown,32996,68727,9:09:56,19:05:27,1
72,unknown,33176,68907,9:12:56,19:08:27,1
73,unknown,33236,68967,9:13:56,19:09:27,1
74,unknown,33296,69027,9:14:56,19:10:27,1
78,unknown,33536,69267,9:18:56,19:14:27,1
79,unknown,33596,69327,9:19:56,19:15:27,1
80,unknown,33656,33656,9:20:56,9:20:56,1
82,unknown,33776,69507,9:22:56,19:18:27,1
83,unknown,33836,69567,9:23:56,19:19:27,1
89,unknown,34196,69927,9:29:56,19:25:27,1
93,unknown,34436,34436,9:33:56,9:33:56,1
94,unknown,34496,70227,9:34:56,19:30:27,1
95,unknown,34556,70287,9:35:56,19:31:27,1
96,unknown,34616,34616,9:36:56,9:36:56,1
98,unknown,34736,70467,9:38:56,19:34:27,1
