person_id,leg_index,mode,start_time_s,end_time_s,trav_time_s,start_x,start_y,end_x,end_y,start_link,end_link,distance,vehicleRefId,route_type,mode_original,pt_transitLineId,pt_transitRouteId,pt_boardingTime_s,pt_accessFacilityId,pt_egressFacilityId,pt_transportMode
0,0,walk,28800,28856,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
0,1,car,28856,29628,772,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,0,links,car,,,,,,
0,2,walk,29628,36615,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
0,3,walk,57600,64587,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
0,4,car,64587,65217,630,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,0,links,car,,,,,,
0,5,walk,65217,65273,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
1,0,walk,28860,41598,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
1,1,walk,57660,70398,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
10,0,walk,29400,42138,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
10,1,walk,58200,70938,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
11,0,walk,29460,42198,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
11,1,walk,58260,70998,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
12,0,walk,29520,42258,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
12,1,walk,58320,71058,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
13,0,walk,29580,42318,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
13,1,walk,58380,71118,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
14,0,walk,29640,29696,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
14,1,car,29696,30472,776,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,14,links,car,,,,,,
14,2,walk,30472,37459,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
14,3,walk,58440,65427,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
14,4,car,65427,66069,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,14,links,car,,,,,,
14,5,walk,66069,66125,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
15,0,walk,29700,42438,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
15,1,walk,58500,71238,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
16,0,walk,29760,42498,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
16,1,walk,58560,71298,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
17,0,walk,29820,42558,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
17,1,walk,58620,71358,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
18,0,walk,29880,42618,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
18,1,walk,58680,71418,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
19,0,walk,29940,29996,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
19,1,car,29996,30772,776,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,19,links,car,,,,,,
19,2,walk,30772,37759,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
19,3,walk,58740,65727,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
19,4,car,65727,66369,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,19,links,car,,,,,,
19,5,walk,66369,66425,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
2,0,walk,28920,28976,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
2,1,car,28976,29726,750,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10962.149837825002,2,links,car,,,,,,
2,2,walk,29726,36713,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
2,3,walk,57720,64707,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
