time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
28800,8:00:00,0,walk,walk,302149.5977611235,2770981.3927179426,0,in_leg,,,,,h,0,31538,0.0,spatial,3,"car interaction,h,w"
28814,8:00:14,0,walk,walk,302164.36936709867,2770977.730158912,0,in_leg,,,,,h,0,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
28828,8:00:28,0,walk,walk,302179.1409730739,2770974.0675998814,0,in_leg,,,,,h,0,31538,0.030437784527720148,spatial,3,"car interaction,h,w"
28842,8:00:42,0,walk,walk,302193.9125790491,2770970.405040851,0,in_leg,,,,,car interaction,1,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
28856,8:00:56,0,walk,walk,302208.6841850243,2770966.7424818203,0,in_leg,,,,,car interaction,1,31538,0.0,spatial,3,"car interaction,h,w"
28860,8:01:00,1,walk,walk,302149.5977611235,2770981.3927179426,0,in_leg,,,,,h,0,31538,0.0,spatial,2,"h,w"
28875,8:01:15,1,walk,walk,302138.19729952473,2770970.1512509864,0,in_leg,,,,,h,0,31538,0.016010655951351562,spatial,2,"h,w"
28890,8:01:30,1,walk,walk,302126.79683792597,2770958.90978403,0,in_leg,,,,,h,0,31538,0.032021311902703124,spatial,2,"h,w"
28905,8:01:45,1,walk,walk,302115.3963763272,2770947.668317074,0,in_leg,,,,,h,0,31538,0.04803196785405468,spatial,2,"h,w"
28920,8:02:00,1,walk,walk,302103.99591472844,2770936.4268501177,0,in_leg,,,,,h,0,31538,0.06404262380540625,spatial,2,"h,w"
28920,8:02:00,2,walk,walk,302149.5977611235,2770981.3927179426,0,in_leg,,,,,h,0,31538,0.0,spatial,3,"car interaction,h,w"
28934,8:02:14,2,walk,walk,302164.36936709867,2770977.730158912,0,in_leg,,,,,h,0,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
28935,8:02:15,1,walk,walk,302092.5954531297,2770925.1853831615,0,in_leg,,,,,h,0,31538,0.0800532797567578,spatial,2,"h,w"
28948,8:02:28,2,walk,walk,302179.1409730739,2770974.0675998814,0,in_leg,,,,,h,0,31538,0.030437784527720148,spatial,3,"car interaction,h,w"
28950,8:02:30,1,walk,walk,302081.1949915309,2770913.9439162053,0,in_leg,,,,,h,0,31538,0.09606393570810937,spatial,2,"h,w"
28962,8:02:42,2,walk,walk,302193.9125790491,2770970.405040851,0,in_leg,,,,,car interaction,1,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
28965,8:02:45,1,walk,walk,302069.79452993214,2770902.702449249,0,in_leg,,,,,h,0,31538,0.11207459165946093,spatial,2,"h,w"
28976,8:02:56,2,walk,walk,302208.6841850243,2770966.7424818203,0,in_leg,,,,,car interaction,1,31538,0.0,spatial,3,"car interaction,h,w"
28980,8:03:00,1,walk,walk,302058.3940683334,2770891.460982293,0,in_leg,,,,,h,0,31538,0.1280852476108125,spatial,2,"h,w"
28980,8:03:00,3,walk,walk,302149.5977611235,2770981.3927179426,0,in_leg,,,,,h,0,31538,0.0,spatial,3,"car interaction,h,w"
28994,8:03:14,3,walk,walk,302164.36936709867,2770977.730158912,0,in_leg,,,,,h,0,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
28995,8:03:15,1,walk,walk,302046.9936067346,2770880.2195153367,0,in_leg,,,,,h,0,31538,0.14409590356216406,spatial,2,"h,w"
29008,8:03:28,3,walk,walk,302179.1409730739,2770974.0675998814,0,in_leg,,,,,h,0,31538,0.030437784527720148,spatial,3,"car interaction,h,w"
29010,8:03:30,1,walk,walk,302035.59314513585,2770868.9780483805,0,in_leg,,,,,h,0,31538,0.1601065595135156,spatial,2,"h,w"
29022,8:03:42,3,walk,walk,302193.9125790491,2770970.405040851,0,in_leg,,,,,car interaction,1,31538,0.015218892263831824,spatial,3,"car interaction,h,w"
