iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;14:27:44;14:27:44;14:27:44;;;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:44;14:27:47;14:27:47;14:27:47;14:27:47;14:27:47;14:27:47;14:27:47;14:27:47;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:03
1;14:27:47;14:27:47;14:27:47;14:27:47;14:27:48;14:27:48;14:27:48;14:27:48;14:27:48;14:27:48;14:27:48;14:27:48;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
2;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;14:27:50;;;14:27:50;14:27:50;14:27:50;14:27:50;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
3;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;14:27:53;;;14:27:53;14:27:53;14:27:53;14:27:53;14:27:55;14:27:55;14:27:55;14:27:55;14:27:55;14:27:55;14:27:56;14:27:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
4;14:27:56;14:27:56;14:27:56;14:27:56;14:27:56;14:27:56;;;14:27:56;14:27:56;14:27:56;14:27:56;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
5;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;14:27:58;;;14:27:58;14:27:58;14:27:58;14:27:58;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
6;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;14:28:01;;;14:28:01;14:28:01;14:28:01;14:28:01;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
7;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;14:28:03;;;14:28:03;14:28:03;14:28:03;14:28:03;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
8;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;14:28:06;;;14:28:06;14:28:06;14:28:06;14:28:06;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
9;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;14:28:08;;;14:28:08;14:28:08;14:28:08;14:28:08;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
10;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;14:28:11;;;14:28:11;14:28:11;14:28:11;14:28:11;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
11;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;14:28:13;;;14:28:13;14:28:13;14:28:13;14:28:13;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
12;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;14:28:16;;;14:28:16;14:28:16;14:28:16;14:28:16;14:28:18;14:28:18;14:28:18;14:28:18;14:28:18;14:28:18;14:28:18;14:28:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
13;14:28:19;14:28:19;14:28:19;14:28:19;14:28:19;14:28:19;;;14:28:19;14:28:19;14:28:19;14:28:19;14:28:21;14:28:21;14:28:21;14:28:21;14:28:21;14:28:21;14:28:21;14:28:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
