ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;17691.774826260058;17691.774826260058
1;15959.24624481653;17874.355794194515
2;15409.21302093916;17860.613754177
3;13902.304251031073;18129.1008288224
4;12925.925058094235;18208.4077018756
5;12748.26455971764;18323.98159126552
6;13010.169601297752;18224.62090204933
7;13173.67160076643;18233.05231475111
8;12659.649240736704;18289.975308548375
9;12504.712195070591;18360.10005908334
10;12331.260979689301;18357.469677680507
11;11871.50259403511;18455.620823923007
12;12132.4175384799;18449.736293109596
13;12511.24117062863;18378.692365514653
14;11872.690755654885;18457.46834995815
15;10381.788180679256;18883.49323592379
