id,WarningType,TransitLine,TransitRoute,fromId,toId,diff,expected,actual,linkIds
32,ArtificialLinkWarning,Green,183_6098_UP,pt_G07_UP,pt_G07_UP,0.0,0.0,0.0,pt_G07_UP
78,ArtificialLinkWarning,Orange,389_1024_UP,pt_O02_UP,pt_O03_UP,0.0,0.0,0.0,pt_O02_UP_pt_O03_UP
10,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL04_DN,pt_BL03_DN,0.0,0.0,0.0,pt_BL04_DN_pt_BL03_DN
95,LoopWarning,Red,377_1031_DN,48686,14260,0.0,0.0,0.0,93317,66732,93316,66733,48687,48686,14253,66734,66735,70491,70490,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
24,ArtificialLinkWarning,Green,183_6098_UP,pt_G03_UP,pt_G03_UP,0.0,0.0,0.0,pt_G03_UP
27,ArtificialLinkWarning,Green,183_6098_UP,pt_G04_UP,pt_G05_UP,0.0,0.0,0.0,pt_G04_UP_pt_G05_UP
93,LoopWarning,Red,377_1031_DN,67237,15028,0.0,0.0,0.0,66732,93317,93316,66733,48687,14253,48686,66734,66735,70491,70490,48685,14259,15028,153280,70489,14260,70464,70463,70488,67237,70465,14028,14006,13996
70,LoopWarning,Orange,389_1005_DN,1656,130584,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,109941,130583,109942,130584,107160,111671,142645,49288,141614,31504,26380,31503
77,ArtificialLinkWarning,Orange,389_1024_UP,pt_O02_UP,pt_O02_UP,0.0,0.0,0.0,pt_O02_UP
13,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL02_DN,pt_BL02_DN,0.0,0.0,0.0,pt_BL02_DN
5,ArtificialLinkWarning,Blue,403_1019_DN,pt_BL06_DN,pt_BL06_DN,0.0,0.0,0.0,pt_BL06_DN
74,LoopWarning,Orange,389_1005_DN,130584,29180,0.0,0.0,0.0,37375,26379,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,109941,130584,109942,130585,107160,111671,142645,49288,141614,31504,26380,31503
64,LoopWarning,Orange,389_1005_DN,26380,141614,0.0,0.0,0.0,37375,110507,110508,110505,40824,110506,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,49288,141614,26380,31504,31503
87,LoopWarning,Red,377_1031_DN,70491,48686,0.0,0.0,0.0,93317,66732,93316,66733,14253,48686,66734,66735,70491,70490,48685,15028,14259,153280,70489,14260,70464,70463,70488,70465,14066,67237,14028,14006,13996
65,LoopWarning,Orange,389_1005_DN,110506,110504,0.0,0.0,0.0,37375,26379,110507,110508,110506,40824,110503,110504,142572,1656,142574,142573,142576,140211,142575,142577,29180,130583,109941,130584,109942,130585,107160,111671,142645,141614,49288,26380,31504,31503
76,ArtificialLinkWarning,Orange,389_1024_UP,pt_O01_UP,pt_O02_UP,0.0,0.0,0.0,pt_O01_UP_pt_O02_UP
34,ArtificialLinkWarning,Green,183_6098_UP,pt_G08_UP,pt_G08_UP,0.0,0.0,0.0,pt_G08_UP
26,ArtificialLinkWarning,Green,183_6098_UP,pt_G04_UP,pt_G04_UP,0.0,0.0,0.0,pt_G04_UP
75,ArtificialLinkWarning,Orange,389_1024_UP,pt_O01_UP,pt_O01_UP,0.0,0.0,0.0,pt_O01_UP
