parent stop id;nr of child stop facilities
BL01_DN;1
BL02_DN;1
BL03_DN;1
BL04_DN;1
BL05_DN;1
BL06_DN;1
BL07_DN;1
BL08_DN;1
BL09_DN;1
BL10_DN;1
BL11_DN;1
BL12_DN;1
BL13_DN;1
BL14_DN;1
BL15_DN;1
BL16_DN;1
BL17_DN;1
BL18_DN;1
BL19_DN;1
BL20_DN;1
BL21_DN;1
BL22_DN;1
BL23_DN;1
G01_UP;1
G02_UP;1
G03_UP;1
G04_UP;1
G05_UP;1
G06_UP;1
G07_UP;1
G08_UP;1
G09_UP;1
G10_UP;1
G11_UP;1
G12_UP;1
G13_UP;1
G14_UP;1
G15_UP;1
G18_UP;1
G19_UP;1
O01_DN;1
O01_UP;1
O02_DN;1
O02_UP;1
O03_DN;1
O03_UP;1
O04_DN;1
O04_UP;1
O05_DN;1
O05_UP;1
O06_DN;1
O06_UP;1
O07_DN;1
O07_UP;1
O08_DN;1
O08_UP;1
O09_DN;1
O09_UP;1
O10_DN;1
O10_UP;1
O11_DN;1
O11_UP;1
O12_DN;1
O12_UP;1
O13_DN;1
O13_UP;1
O14_DN;1
O14_UP;1
O15_DN;1
O15_UP;1
O16_DN;1
O16_UP;1
O17_DN;1
O17_UP;1
O18_DN;1
O18_UP;1
O19_DN;1
O19_UP;1
O20_DN;1
O20_UP;1
O21_DN;1
O21_UP;1
R02_DN;1
R03_DN;1
R04_DN;1
R05_DN;1
R06_DN;1
R07_DN;1
R08_DN;1
R09_DN;1
R10_DN;1
R11_DN;1
R12_DN;1
R13_DN;1
R14_DN;1
R15_DN;1
R16_DN;1
R17_DN;1
R18_DN;1
R19_DN;1
R20_DN;1
R21_DN;1
R22_DN;1
R23_DN;1
R24_DN;1
R25_DN;1
R26_DN;1
R27_DN;1
R28_DN;1
508487;2
G16_UP;2
G17_UP;2
THB281514;2
TRA_0990;2
TRA_1000;2
