vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
car_agent_01,car,28801,58503,8:00:01,16:15:03,1
car_agent_02,car,26100,55801,7:15:00,15:30:01,1
car_agent_03,car,28812,58506,8:00:12,16:15:06,1
car_agent_04,car,28800,28800,8:00:00,8:00:00,1
car_agent_05,car,27011,56731,7:30:11,15:45:31,1
car_agent_06,car,27901,57607,7:45:01,16:00:07,1
car_agent_07,car,27916,57606,7:45:16,16:00:06,1
car_agent_10,car,27908,27908,7:45:08,7:45:08,1
car_agent_12,car,39600,69307,11:00:00,19:15:07,1
car_agent_13,car,37805,67506,10:30:05,18:45:06,1
pt_agent_08,unknown,30588,57788,8:29:48,16:03:08,1
pt_agent_13,unknown,31356,59588,8:42:36,16:33:08,1
pt_agent_16,unknown,36049,66781,10:00:49,18:33:01,1
pt_agent_17,unknown,34202,64982,9:30:02,18:03:02,1
pt_transfer_agent_04,unknown,29688,57186,8:14:48,15:53:06,1
pt_transfer_agent_06,unknown,29295,58860,8:08:15,16:21:00,1
pt_transfer_agent_09,unknown,42607,70145,11:50:07,19:29:05,1
veh_1000_subway,subway,37894,37894,10:31:34,10:31:34,1
veh_1176_subway,subway,58512,58512,16:15:12,16:15:12,1
veh_1183_subway,subway,34361,34361,9:32:41,9:32:41,1
veh_1197_subway,subway,28893,28893,8:01:33,8:01:33,1
veh_1267_subway,subway,57767,57767,16:02:47,16:02:47,1
veh_1356_subway,subway,67506,67506,18:45:06,18:45:06,1
veh_1567_subway,subway,38335,38335,10:38:55,10:38:55,1
veh_1615_subway,subway,58725,58725,16:18:45,16:18:45,1
veh_2016_subway,subway,28042,28042,7:47:22,7:47:22,1
veh_314_subway,subway,54334,54334,15:05:34,15:05:34,1
veh_463_subway,subway,27973,27973,7:46:13,7:46:13,1
veh_517_subway,subway,56495,56495,15:41:35,15:41:35,1
veh_522_subway,subway,58906,58906,16:21:46,16:21:46,1
veh_615_subway,subway,28829,28829,8:00:29,8:00:29,1
veh_624_subway,subway,59772,59772,16:36:12,16:36:12,1
veh_663_subway,subway,23459,23459,6:30:59,6:30:59,1
veh_688_subway,subway,25278,25278,7:01:18,7:01:18,1
veh_718_subway,subway,59587,59587,16:33:07,16:33:07,1
veh_777_subway,subway,56982,56982,15:49:42,15:49:42,1
veh_797_subway,subway,28968,28968,8:02:48,8:02:48,1
veh_806_subway,subway,26145,26145,7:15:45,7:15:45,1
veh_912_subway,subway,67794,67794,18:49:54,18:49:54,1
walk_agent_05,unknown,29020,52207,8:03:40,14:30:07,1
