person_id,leg_index,mode,start_time_s,end_time_s,trav_time_s,start_x,start_y,end_x,end_y,start_link,end_link,distance,vehicleRefId,route_type,mode_original,pt_transitLineId,pt_transitRouteId,pt_boardingTime_s,pt_accessFacilityId,pt_egressFacilityId,pt_transportMode,pt_segment_start_stop,pt_segment_end_stop
car_agent_01,0,walk,28800,28801,1,302208.73,2771006.76,302208.3430382476,2771005.3149012844,24116,24116,1.9448146401350181,,generic,walk,,,,,,,,
car_agent_01,1,car,28801,29015,214,302208.3430382476,2771005.3149012844,302304.32684472116,2769509.185824118,24116,51390,3481.8791765567607,car_agent_01,links,car,,,,,,,,
car_agent_01,2,walk,29015,29018,3,302304.32684472116,2769509.185824118,302301.05,2769507.0,51390,51390,5.120669868209365,,generic,walk,,,,,,,,
car_agent_01,3,walk,58500,58503,3,302301.05,2769507.0,302304.32684472116,2769509.185824118,51390,51390,5.120669868209365,,generic,walk,,,,,,,,
car_agent_01,4,car,58503,58583,80,302304.32684472116,2769509.185824118,302208.3430382476,2771005.3149012844,51390,24116,2024.853295755075,car_agent_01,links,car,,,,,,,,
car_agent_01,5,walk,58583,58584,1,302208.3430382476,2771005.3149012844,302208.73,2771006.76,24116,24116,1.9448146401350181,,generic,walk,,,,,,,,
car_agent_02,0,walk,26100,26100,0,301278.16,2770528.6,301279.1508896225,2770528.337822943,110633,110633,1.3324835459087507,,generic,walk,,,,,,,,
car_agent_02,1,car,26100,26198,98,301279.1508896225,2770528.337822943,302208.3430382476,2771005.3149012844,110633,24116,2071.684463588646,car_agent_02,links,car,,,,,,,,
car_agent_02,2,walk,26198,26199,1,302208.3430382476,2771005.3149012844,302208.73,2771006.76,24116,24116,1.9448146401350181,,generic,walk,,,,,,,,
car_agent_02,3,walk,55800,55801,1,302208.73,2771006.76,302208.3430382476,2771005.3149012844,24116,24116,1.9448146401350181,,generic,walk,,,,,,,,
car_agent_02,4,car,55801,55866,65,302208.3430382476,2771005.3149012844,301279.1508896225,2770528.337822943,24116,110633,1440.9474311092436,car_agent_02,links,car,,,,,,,,
car_agent_02,5,walk,55866,55866,0,301279.1508896225,2770528.337822943,301278.16,2770528.6,110633,110633,1.3324835459087507,,generic,walk,,,,,,,,
car_agent_03,0,walk,28800,28812,12,304919.31,2771652.54,304919.00901467906,2771639.2835647115,24062,24062,17.237807289304254,,generic,walk,,,,,,,,
car_agent_03,1,car,28812,29142,330,304919.00901467906,2771639.2835647115,302954.6624444266,2775213.5844318722,24062,64975,5384.837615930305,car_agent_03,links,car,,,,,,,,
car_agent_03,2,walk,29142,29148,6,302954.6624444266,2775213.5844318722,302953.21,2775206.77,64975,64975,9.05775189411617,,generic,walk,,,,,,,,
car_agent_03,3,walk,58500,58506,6,302953.21,2775206.77,302954.6624444266,2775213.5844318722,64975,64975,9.05775189411617,,generic,walk,,,,,,,,
car_agent_03,4,car,58506,58952,446,302954.6624444266,2775213.5844318722,304919.00901467906,2771639.2835647115,64975,24062,6983.188764790221,car_agent_03,links,car,,,,,,,,
car_agent_03,5,walk,58952,58964,12,304919.00901467906,2771639.2835647115,304919.31,2771652.54,24062,24062,17.237807289304254,,generic,walk,,,,,,,,
car_agent_04,0,walk,28800,28800,0,308290.6,2771453.17,308290.5833235487,2771453.7735914285,168838,168838,0.7849682867740276,,generic,walk,,,,,,,,
car_agent_04,1,car,28800,29484,684,308290.5833235487,2771453.7735914285,301279.1508896225,2770528.337822943,168838,110633,8466.86661450107,car_agent_04,links,car,,,,,,,,
car_agent_04,2,walk,29484,29484,0,301279.1508896225,2770528.337822943,301278.16,2770528.6,110633,110633,1.3324835459087507,,generic,walk,,,,,,,,
car_agent_04,3,walk,58500,58500,0,301278.16,2770528.6,301279.1508896225,2770528.337822943,110633,110633,1.3324835459087507,,generic,walk,,,,,,,,
car_agent_04,4,car,58500,59150,650,301279.1508896225,2770528.337822943,308290.5833235487,2771453.7735914285,110633,168838,8664.289353348657,car_agent_04,links,car,,,,,,,,
car_agent_04,5,walk,59150,59150,0,308290.5833235487,2771453.7735914285,308290.6,2771453.17,168838,168838,0.7849682867740276,,generic,walk,,,,,,,,
car_agent_05,0,walk,27000,27011,11,311242.46,2771678.44,311240.8111306819,2771690.6378761786,119606,119606,16.001460904365203,,generic,walk,,,,,,,,
car_agent_05,1,car,27011,28018,1007,311240.8111306819,2771690.6378761786,300253.4824867919,2780450.178712846,119606,2120,17636.596300007273,car_agent_05,links,car,,,,,,,,
car_agent_05,2,walk,28018,28049,31,300253.4824867919,2780450.178712846,300280.05,2780471.08,2120,2120,43.9449336224043,,generic,walk,,,,,,,,
car_agent_05,3,walk,56700,56731,31,300280.05,2780471.08,300253.4824867919,2780450.178712846,2120,2120,43.9449336224043,,generic,walk,,,,,,,,
car_agent_05,4,car,56731,57808,1077,300253.4824867919,2780450.178712846,311240.8111306819,2771690.6378761786,2120,119606,18209.622444873938,car_agent_05,links,car,,,,,,,,
car_agent_05,5,walk,57808,57819,11,311240.8111306819,2771690.6378761786,311242.46,2771678.44,119606,119606,16.001460904365203,,generic,walk,,,,,,,,
car_agent_06,0,walk,27900,27901,1,304732.58,2769576.78,304732.6008059413,2769577.95596763,34918,34918,1.528997172743829,,generic,walk,,,,,,,,
car_agent_06,1,car,27901,28155,254,304732.6008059413,2769577.95596763,304914.3099691695,2772627.744970456,34918,151203,3232.5961198764926,car_agent_06,links,car,,,,,,,,
car_agent_06,2,walk,28155,28162,7,304914.3099691695,2772627.744970456,304906.51,2772627.9,151203,151203,10.141962577102026,,generic,walk,,,,,,,,
car_agent_06,3,walk,57600,57607,7,304906.51,2772627.9,304914.3099691695,2772627.744970456,151203,151203,10.141962577102026,,generic,walk,,,,,,,,
car_agent_06,4,car,57607,57949,342,304914.3099691695,2772627.744970456,304732.6008059413,2769577.95596763,151203,34918,5020.620268140359,car_agent_06,links,car,,,,,,,,
car_agent_06,5,walk,57949,57950,1,304732.6008059413,2769577.95596763,304732.58,2769576.78,34918,34918,1.528997172743829,,generic,walk,,,,,,,,
car_agent_07,0,walk,27900,27916,16,303804.19,2770590.71,303801.4738043031,2770573.0191977723,130880,130880,23.26753795022239,,generic,walk,,,,,,,,
car_agent_07,1,car,27916,28070,154,303801.4738043031,2770573.0191977723,303783.4233985733,2772445.2014918937,130880,14982,2182.178328329128,car_agent_07,links,car,,,,,,,,
car_agent_07,2,walk,28070,28076,6,303783.4233985733,2772445.2014918937,303790.83,2772445.13,14982,14982,9.62903039131332,,generic,walk,,,,,,,,
car_agent_07,3,walk,57600,57606,6,303790.83,2772445.13,303783.4233985733,2772445.2014918937,14982,14982,9.62903039131332,,generic,walk,,,,,,,,
car_agent_07,4,car,57606,57799,193,303783.4233985733,2772445.2014918937,303801.4738043031,2770573.0191977723,14982,130880,2662.577966194319,car_agent_07,links,car,,,,,,,,
car_agent_07,5,walk,57799,57815,16,303801.4738043031,2770573.0191977723,303804.19,2770590.71,130880,130880,23.26753795022239,,generic,walk,,,,,,,,
car_agent_08,0,walk,28800,28801,1,308290.6,2771453.17,308290.60202531295,2771453.1747215157,168838,pt_G19_DN,0.006678838306704603,,generic,walk,,,,,,,,
