time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
23400,6:30:00,car_agent_09,walk,walk,301278.16,2770528.6,0,in_leg,,,,,home,0,110633,0.0,spatial,2,"home,work"
23400,6:30:00,pt_agent_03,walk,walk,296356.46,2766793.71,0,in_leg,,,,,home,0,142529,0.0,spatial,3,"home,pt interaction,work"
23401,6:30:01,pt_agent_03,walk,walk,296356.4617399499,2766793.710940271,0,in_leg,,,,,pt interaction,1,pt_BL06_UP,0.0,spatial,3,"home,pt interaction,work"
23405,6:30:05,car_agent_09,walk,walk,301282.90780612244,2770531.0395918367,0,in_leg,,,,,home,0,110633,0.00533790888888117,spatial,2,"home,work"
23410,6:30:10,car_agent_09,walk,walk,301287.65561224485,2770533.4791836734,0,in_leg,,,,,home,0,110633,0.010675817777710567,spatial,2,"home,work"
23415,6:30:15,car_agent_09,walk,walk,301292.4034183673,2770535.9187755105,0,in_leg,,,,,home,0,110633,0.01601372666680456,spatial,2,"home,work"
23420,6:30:20,car_agent_09,walk,walk,301297.1512244898,2770538.358367347,0,in_leg,,,,,home,0,110633,0.021351635555685727,spatial,2,"home,work"
23425,6:30:25,car_agent_09,walk,walk,301301.8990306122,2770540.797959184,0,in_leg,,,,,home,0,110633,0.026689544444515125,spatial,2,"home,work"
23430,6:30:30,car_agent_09,walk,walk,301306.64683673467,2770543.2375510205,0,in_leg,,,,,home,0,110633,0.032027453333396294,spatial,2,"home,work"
23435,6:30:35,car_agent_09,walk,walk,301311.39464285714,2770545.677142857,0,in_leg,,,,,home,0,110633,0.037365362222277466,spatial,2,"home,work"
23440,6:30:40,car_agent_09,walk,walk,301316.14244897955,2770548.1167346938,0,in_leg,,,,,home,0,110633,0.04270327111110686,spatial,2,"home,work"
23445,6:30:45,car_agent_09,walk,walk,301320.890255102,2770550.556326531,0,in_leg,,,,,home,0,110633,0.048041180000200856,spatial,2,"home,work"
23450,6:30:50,car_agent_09,walk,walk,301325.6380612245,2770552.9959183675,0,in_leg,,,,,home,0,110633,0.05337908888908202,spatial,2,"home,work"
23455,6:30:55,car_agent_09,walk,walk,301330.3858673469,2770555.435510204,0,in_leg,,,,,home,0,110633,0.05871699777791142,spatial,2,"home,work"
23460,6:31:00,car_agent_09,walk,walk,301335.13367346936,2770557.875102041,0,in_leg,,,,,home,0,110633,0.06405490666679259,spatial,2,"home,work"
23465,6:31:05,car_agent_09,walk,walk,301339.88147959183,2770560.3146938775,0,in_leg,,,,,home,0,110633,0.06939281555567377,spatial,2,"home,work"
23465,6:31:05,pt_agent_03,subway,pt,296356.4617399499,2766793.710940271,1,in_leg,,Blue,403_1460_UP,subway,pt interaction,1,pt_BL06_UP,0.0,spatial,3,"home,pt interaction,work"
23465,6:31:05,pt_agent_03,subway,pt,296660.1690383145,2767388.4471152932,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23465,6:31:05,pt_agent_03,subway,pt,297236.90702420456,2768436.6099721375,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23465,6:31:05,pt_agent_03,subway,pt,297689.8716625933,2769212.9908094765,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23465,6:31:05,pt_agent_03,subway,pt,300488.7872939309,2769778.5391352274,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23465,6:31:05,pt_agent_03,subway,pt,301278.15512185276,2770528.600776343,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23470,6:31:10,car_agent_09,walk,walk,301344.62928571424,2770562.7542857146,0,in_leg,,,,,home,0,110633,0.07473072444471597,spatial,2,"home,work"
23470,6:31:10,pt_agent_03,subway,pt,296373.3343676368,2766826.7518388834,1,in_leg,,Blue,403_1460_UP,subway,pt interaction,1,pt_BL06_UP,0.037099683909248296,spatial,3,"home,pt interaction,work"
23470,6:31:10,pt_agent_03,subway,pt,296673.58154961426,2767412.822995685,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23470,6:31:10,pt_agent_03,subway,pt,297243.9845966794,2768448.740922721,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23470,6:31:10,pt_agent_03,subway,pt,297715.7875480686,2769218.2273680484,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23470,6:31:10,pt_agent_03,subway,pt,300494.6780986169,2769784.136610161,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23470,6:31:10,pt_agent_03,subway,pt,301283.7949868611,2770531.4987279437,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23475,6:31:15,car_agent_09,walk,walk,301349.3770918367,2770565.1938775512,0,in_leg,,,,,home,0,110633,0.08006863333359715,spatial,2,"home,work"
23475,6:31:15,pt_agent_03,subway,pt,296390.2069953237,2766859.7927374956,1,in_leg,,Blue,403_1460_UP,subway,pt interaction,1,pt_BL06_UP,0.07419936781847013,spatial,3,"home,pt interaction,work"
23475,6:31:15,pt_agent_03,subway,pt,296686.99406091403,2767437.198876077,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23475,6:31:15,pt_agent_03,subway,pt,297251.0621691542,2768460.8718733042,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23475,6:31:15,pt_agent_03,subway,pt,297741.70343354397,2769223.46392662,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23475,6:31:15,pt_agent_03,subway,pt,300500.56890330283,2769789.7340850946,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23475,6:31:15,pt_agent_03,subway,pt,301289.4348518695,2770534.3966795444,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
23480,6:31:20,car_agent_09,walk,walk,301354.1248979592,2770567.633469388,0,in_leg,,,,,home,0,110633,0.08540654222247832,spatial,2,"home,work"
23480,6:31:20,pt_agent_03,subway,pt,296407.07962301065,2766892.8336361083,1,in_leg,,Blue,403_1460_UP,subway,pt interaction,1,pt_BL06_UP,0.11129905172813315,spatial,3,"home,pt interaction,work"
23480,6:31:20,pt_agent_03,subway,pt,296700.4065722138,2767461.5747564686,1,in_leg,,Blue,403_1460_UP,subway,,,,,,3,"home,pt interaction,work"
