iteration;car;motorcycle;pt;walk
0;0.2925;0.15;0.4375;0.12
1;0.265;0.205;0.3925;0.1375
2;0.265;0.14;0.435;0.16
3;0.3025;0.145;0.345;0.2075
4;0.24;0.17;0.3975;0.1925
5;0.2675;0.1625;0.4175;0.1525
6;0.2875;0.1475;0.375;0.19
7;0.27;0.145;0.395;0.19
8;0.2875;0.14;0.365;0.2075
9;0.2575;0.19;0.375;0.1775
10;0.18;0.185;0.425;0.21
11;0.21;0.2;0.4425;0.1475
12;0.26;0.1825;0.37;0.1875
13;0.3;0.175;0.34;0.185
14;0.26;0.16;0.3675;0.2125
15;0.2225;0.115;0.44;0.2225
16;0.1675;0.2075;0.4425;0.1825
17;0.2325;0.2525;0.3725;0.1425
18;0.205;0.22;0.3725;0.2025
19;0.235;0.165;0.4025;0.1975
20;0.2625;0.14;0.4225;0.175
21;0.245;0.17;0.41;0.175
22;0.215;0.15;0.43;0.205
23;0.1725;0.225;0.3725;0.23
24;0.19;0.26;0.38;0.17
25;0.1975;0.22;0.3775;0.205
26;0.2875;0.1775;0.3575;0.1775
27;0.2325;0.1875;0.3775;0.2025
28;0.1875;0.265;0.3775;0.17
29;0.23;0.2225;0.345;0.2025
30;0.16;0.2625;0.365;0.2125
31;0.1825;0.21;0.4025;0.205
32;0.2175;0.1775;0.43;0.175
33;0.18;0.165;0.4925;0.1625
34;0.1975;0.23;0.4175;0.155
35;0.155;0.2175;0.485;0.1425
36;0.155;0.2575;0.4225;0.165
37;0.1425;0.24;0.42;0.1975
38;0.1475;0.21;0.45;0.1925
39;0.1375;0.27;0.4525;0.14
40;0.195;0.23;0.4125;0.1625
41;0.175;0.305;0.35;0.17
42;0.21;0.2625;0.3325;0.195
43;0.1775;0.2425;0.46;0.12
44;0.1825;0.2525;0.4075;0.1575
45;0.145;0.2725;0.3825;0.2
46;0.12;0.2675;0.4425;0.17
47;0.1375;0.23;0.4475;0.185
48;0.1775;0.3;0.3475;0.175
49;0.2;0.2575;0.3975;0.145
50;0.2175;0.19;0.41;0.1825
