Iteration;car_travel;car_wait;motorcycle_travel;motorcycle_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;12;0;8;0;42;9;0;0;112;0
1;12;0;11;0;37;8;0;0;128;0
2;11;0;8;0;40;9;0;0;130;0
3;17;0;9;0;29;7;0;0;168;0
4;12;0;10;0;36;8;0;0;151;0
5;14;0;9;0;39;8;0;0;130;0
6;16;0;7;0;33;8;0;0;149;0
7;13;0;7;0;38;7;0;0;148;0
8;14;0;6;0;36;7;0;0;151;0
9;14;0;10;0;35;8;0;0;143;0
10;10;0;8;0;41;9;0;0;142;0
11;12;0;10;0;43;9;0;0;111;0
12;14;0;9;0;33;8;0;0;146;0
13;14;0;9;0;30;7;0;0;161;0
14;12;0;8;0;38;8;0;0;136;0
15;10;0;6;0;44;9;0;0;140;0
16;9;0;9;0;44;9;0;0;136;0
17;10;0;12;0;36;7;0;0;128;0
18;9;0;11;0;37;8;0;0;163;0
19;10;0;7;0;39;8;0;0;147;0
20;13;0;7;0;39;8;0;0;147;0
21;13;0;8;0;38;8;0;0;134;0
22;11;0;7;0;42;9;0;0;149;0
