Iteration;car;motorcycle;pt;walk
0;558;353;1189;509
1;566;492;1059;583
2;526;348;1130;602
3;787;406;814;806
4;582;460;1013;707
5;654;422;1104;598
6;744;346;941;698
7;587;331;1079;694
8;652;290;1021;711
9;657;466;1005;655
10;466;392;1178;652
11;596;453;1211;500
12;664;450;945;682
13;688;429;854;760
14;595;361;1088;637
15;488;278;1259;646
16;411;425;1252;622
17;494;570;1035;594
18;422;500;1055;759
19;442;350;1114;681
20;634;324;1110;678
21;585;391;1080;620
22;511;289;1201;689
