iteration;avg_executed;avg_worst;avg_average;avg_best
0;20.569264447009086;20.569264447009086;20.569264447009086;20.569264447009086
1;26.499652876023042;5.797800868600798;23.53445866151606;41.2711164544313
2;23.53700874618228;0.12321783464834439;23.53530868973813;46.654110383846394
3;24.305683305774334;-6.7512499385180265;22.771048412646316;47.75728830633268
4;36.960794864639205;-21.807942318153;24.316947821716898;57.065958919551505
5;24.91225449248244;-32.75886797392944;20.496934752065172;58.072297107873254
6;14.339961952602225;-45.63696907011753;17.70970755112499;59.47570456000202
7;26.853152064634234;-52.484891776566236;15.674404589812093;60.00774134911763
8;11.795306087661208;-59.65112264766696;12.92644594557928;60.944076253610774
9;20.734629274909434;-71.08116618938556;13.178454232577117;61.3564325811378
10;42.740855305909655;-74.57541708036702;15.382388799787158;66.0080393415543
11;44.70697463514881;-74.57541708036702;16.313096107406704;67.20796242476143
12;27.083161711364742;-79.80911671428824;16.840068039145272;68.52566079886796
13;39.66873395993408;-80.07767619780618;17.62840199207337;68.69194628489078
14;46.918516685505885;-80.07767619780618;17.750479866580818;69.78534351732215
15;43.243783502954095;-80.27397017820336;17.91227093686625;70.5066736687723
