ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;2522.952524649403;7288.80018777269
1;2597.962257173247;7203.813374298053
2;2589.520030056068;7184.013599907821
3;2710.2246607861935;7273.294518071869
4;2612.240994755965;7141.533028440679
5;2625.3512239636907;7261.0550774134745
6;2713.1415939876138;7324.349691466662
7;2679.2866865225355;7184.31168971514
8;2716.6803274073177;7216.782346770918
9;2713.6951893510704;7328.137881457074
10;2736.9317745457406;7287.585167061659
11;2541.0621224847237;7254.196526953968
12;2758.7448453996426;7362.312730657339
13;2885.141703329036;7442.560888854964
14;2729.440766701756;7251.659828154586
15;2562.8814173945043;7154.024955302308
