person_id,leg_index,mode,start_time_s,end_time_s,trav_time_s,start_x,start_y,end_x,end_y,start_link,end_link,distance,vehicleRefId,route_type,mode_original,pt_transitLineId,pt_transitRouteId,pt_boardingTime_s,pt_accessFacilityId,pt_egressFacilityId,pt_transportMode,pt_segment_start_stop,pt_segment_end_stop
car_commuter_01,0,walk,27000,27008,8,300488.79,2769778.54,300488.32202148304,2769769.6543999678,119734,119734,11.567289534979336,,generic,walk,,,,,,,,
car_commuter_01,1,car,27008,27383,375,300488.32202148304,2769769.6543999678,305544.43104231555,2770493.0390018015,119734,62785,7201.460117983402,car_commuter_01,links,car,,,,,,,,
car_commuter_01,2,walk,27383,27388,5,305544.43104231555,2770493.0390018015,305544.29,2770487.68,62785,62785,6.96911476289376,,generic,walk,,,,,,,,
car_commuter_01,3,walk,61200,61205,5,305544.29,2770487.68,305544.43104231555,2770493.0390018015,62785,62785,6.96911476289376,,generic,walk,,,,,,,,
car_commuter_01,4,car,61205,61640,435,305544.43104231555,2770493.0390018015,300488.32202148304,2769769.6543999678,62785,119734,6341.83884565864,car_commuter_01,links,car,,,,,,,,
car_commuter_01,5,walk,61640,61648,8,300488.32202148304,2769769.6543999678,300488.79,2769778.54,119734,119734,11.567289534979336,,generic,walk,,,,,,,,
metro_down_01,0,walk,24300,24301,1,303804.19,2770590.71,303804.1887079433,2770590.710859173,130880,pt_BL14_DN,0.002017132872603192,,generic,walk,,,,,,,,
metro_down_01,1,pt,24488,24607,119,303804.1887079433,2770590.710859173,302862.28591230744,2770828.7266682894,pt_BL14_DN,BL13_DN.link:pt_BL13_DN,,,default_pt,pt,Blue,403_1249_DN,24488.0,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL14_DN.link:pt_BL14_DN,BL13_DN.link:pt_BL13_DN
metro_down_01,1,pt,24488,24704,216,302862.28591230744,2770828.7266682894,302208.73284823,2771006.7627904457,BL13_DN.link:pt_BL13_DN,BL12_DN.link:pt_BL12_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL13_DN.link:pt_BL13_DN,BL12_DN.link:pt_BL12_DN
metro_down_01,1,pt,24488,24856,368,302208.73284823,2771006.7627904457,301278.15512185276,2770528.600776343,BL12_DN.link:pt_BL12_DN,BL11_DN.link:pt_BL11_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL12_DN.link:pt_BL12_DN,BL11_DN.link:pt_BL11_DN
metro_down_01,1,pt,24488,24991,503,301278.15512185276,2770528.600776343,300488.7872939309,2769778.5391352274,BL11_DN.link:pt_BL11_DN,BL10_DN.link:pt_BL10_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL11_DN.link:pt_BL11_DN,BL10_DN.link:pt_BL10_DN
metro_down_01,1,pt,24488,25206,718,300488.7872939309,2769778.5391352274,297689.8716625933,2769212.9908094765,BL10_DN.link:pt_BL10_DN,BL09_DN.link:pt_BL09_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL10_DN.link:pt_BL10_DN,BL09_DN.link:pt_BL09_DN
metro_down_01,1,pt,24488,25305,817,297689.8716625933,2769212.9908094765,297236.90702420456,2768436.6099721375,BL09_DN.link:pt_BL09_DN,BL08_DN.link:pt_BL08_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL09_DN.link:pt_BL09_DN,BL08_DN.link:pt_BL08_DN
metro_down_01,1,pt,24488,25432,944,297236.90702420456,2768436.6099721375,296660.1690383145,2767388.4471152932,BL08_DN.link:pt_BL08_DN,BL07_DN.link:pt_BL07_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL08_DN.link:pt_BL08_DN,BL07_DN.link:pt_BL07_DN
metro_down_01,1,pt,24488,25524,1036,296660.1690383145,2767388.4471152932,296356.4617399499,2766793.710940271,BL07_DN.link:pt_BL07_DN,BL06_DN.link:pt_BL06_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL07_DN.link:pt_BL07_DN,BL06_DN.link:pt_BL06_DN
metro_down_01,1,pt,24488,25651,1163,296356.4617399499,2766793.710940271,295672.75806585717,2765663.266213558,BL06_DN.link:pt_BL06_DN,BL05_DN.link:pt_BL05_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL06_DN.link:pt_BL06_DN,BL05_DN.link:pt_BL05_DN
metro_down_01,1,pt,24488,25825,1337,295672.75806585717,2765663.266213558,295300.4898398059,2764224.8517480693,BL05_DN.link:pt_BL05_DN,BL04_DN.link:pt_BL04_DN,,,default_pt,pt,Blue,403_1249_DN,,BL14_DN.link:pt_BL14_DN,BL02_DN.link:pt_BL02_DN,subway,BL05_DN.link:pt_BL05_DN,BL04_DN.link:pt_BL04_DN
