vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
car_agent_01,car,25482,53320,7:04:42,14:48:40,1
car_agent_02,car,26116,59318,7:15:16,16:28:38,1
car_agent_03,car,28075,57602,7:47:55,16:00:02,1
car_agent_06,car,28685,57606,7:58:05,16:00:06,1
car_agent_08,car,26988,53116,7:29:48,14:45:16,1
car_agent_09,car,28436,56707,7:53:56,15:45:07,1
car_agent_13,car,32408,62106,9:00:08,17:15:06,1
car_agent_14,car,32405,62100,9:00:05,17:15:00,1
pt_agent_08,unknown,32388,59588,8:59:48,16:33:08,1
pt_agent_13,unknown,25956,54188,7:12:36,15:03:08,1
pt_agent_16,unknown,26149,56881,7:15:49,15:48:01,1
pt_agent_17,unknown,27002,57782,7:30:02,16:03:02,1
pt_agent_22,unknown,40082,68592,11:08:02,19:03:12,1
pt_agent_23,unknown,36440,66787,10:07:20,18:33:07,1
pt_agent_25,unknown,45888,70382,12:44:48,19:33:02,1
veh_1135_subway,subway,65123,65123,18:05:23,18:05:23,1
veh_1158_subway,subway,56269,56269,15:37:49,15:37:49,1
veh_1170_subway,subway,56846,56846,15:47:26,15:47:26,1
veh_1215_subway,subway,26173,26173,7:16:13,7:16:13,1
veh_1316_subway,subway,27817,27817,7:43:37,7:43:37,1
veh_1380_subway,subway,35327,35327,9:48:47,9:48:47,1
veh_1445_subway,subway,63983,63983,17:46:23,17:46:23,1
veh_1482_subway,subway,34346,34346,9:32:26,9:32:26,1
veh_1620_subway,subway,56985,56985,15:49:45,15:49:45,1
veh_1797_subway,subway,26169,26169,7:16:09,7:16:09,1
veh_1980_subway,subway,64635,64635,17:57:15,17:57:15,1
veh_2071_subway,subway,34350,34350,9:32:30,9:32:30,1
veh_2510_subway,subway,57645,57645,16:00:45,16:00:45,1
veh_2729_subway,subway,27022,27022,7:30:22,7:30:22,1
veh_305_subway,subway,58046,58046,16:07:26,16:07:26,1
veh_463_subway,subway,26240,26240,7:17:20,7:17:20,1
veh_473_subway,subway,59662,59662,16:34:22,16:34:22,1
veh_517_subway,subway,56172,56934,15:36:12,15:48:54,2
veh_522_subway,subway,59027,59027,16:23:47,16:23:47,1
veh_540_subway,subway,27953,27953,7:45:53,7:45:53,1
veh_560_subway,subway,27013,27013,7:30:13,7:30:13,1
veh_561_subway,subway,28969,28969,8:02:49,8:02:49,1
veh_594_subway,subway,57075,57075,15:51:15,15:51:15,1
veh_634_subway,subway,26213,26213,7:16:53,7:16:53,1
veh_794_subway,subway,25522,25522,7:05:22,7:05:22,1
walk_agent_01,unknown,28800,52201,8:00:00,14:30:01,1
